ts_code,trade_date,close_price,pre_close,pct_chg,volume,amount,year_ganzhi,month_ganzhi,day_ganzhi,weekday,year,month,is_trading_day,log_return,direction,day_tian_gan,day_di_zhi,day_tg_wuxing,day_dz_wuxing,month_tian_gan,month_di_zhi,month_tg_wuxing,month_dz_wuxing,is_month_start,is_month_end,prev_log_return,week_number,year_month
000858.SZ,2010-01-04,31.45,31.66,-0.0066,264090,836351.9494,己丑,丙子,甲寅,1,2010,1,1,-0.006655071306416566,0,甲,寅,木,木,丙,子,火,水,True,False,,2010-W01,2010-01
000858.SZ,2010-01-05,31.78,31.45,0.0105,290982,923787.4432,己丑,丁丑,乙卯,2,2010,1,1,0.010438177962120479,1,乙,卯,木,木,丁,丑,火,土,True,False,-0.006655071306416566,2010-W01,2010-01
000858.SZ,2010-01-06,30.94,31.78,-0.0264,428220,1340542.565,己丑,丁丑,丙辰,3,2010,1,1,-0.026787315963649843,0,丙,辰,火,土,丁,丑,火,土,False,False,0.010438177962120479,2010-W01,2010-01
000858.SZ,2010-01-07,30.0,30.94,-0.0304,617051,1850035.5349,己丑,丁丑,丁巳,4,2010,1,1,-0.03085246348276469,0,丁,巳,火,火,丁,丑,火,土,False,False,-0.026787315963649843,2010-W01,2010-01
000858.SZ,2010-01-08,29.94,30.0,-0.002,364771,1075206.247,己丑,丁丑,戊午,5,2010,1,1,-0.0020020026706730793,0,戊,午,土,火,丁,丑,火,土,False,False,-0.03085246348276469,2010-W01,2010-01
000858.SZ,2010-01-11,29.66,29.94,-0.0094,278317,829528.0535,己丑,丁丑,辛酉,1,2010,1,1,-0.009396042281696345,0,辛,酉,金,金,丁,丑,火,土,False,False,-0.0020020026706730793,2010-W02,2010-01
000858.SZ,2010-01-12,30.51,29.66,0.0287,291381,880580.7708,己丑,丁丑,壬戌,2,2010,1,1,0.028255162018792298,1,壬,戌,水,土,丁,丑,火,土,False,False,-0.009396042281696345,2010-W02,2010-01
000858.SZ,2010-01-13,30.27,30.51,-0.0079,367162,1121175.0957,己丑,丁丑,癸亥,3,2010,1,1,-0.007897375694951032,0,癸,亥,水,水,丁,丑,火,土,False,False,0.028255162018792298,2010-W02,2010-01
000858.SZ,2010-01-14,31.44,30.27,0.0387,454449,1415275.351,己丑,丁丑,甲子,4,2010,1,1,0.03792384452737855,1,甲,子,木,水,丁,丑,火,土,False,False,-0.007897375694951032,2010-W02,2010-01
000858.SZ,2010-01-15,31.56,31.44,0.0038,450359,1429719.0632,己丑,丁丑,乙丑,5,2010,1,1,0.0038095284166676487,1,乙,丑,木,土,丁,丑,火,土,False,False,0.03792384452737855,2010-W02,2010-01
000858.SZ,2010-01-18,32.1,31.56,0.0171,393653,1254827.908,己丑,丁丑,戊辰,1,2010,1,1,0.01696553415829667,1,戊,辰,土,土,丁,丑,火,土,False,False,0.0038095284166676487,2010-W03,2010-01
