week_number,week_start,week_end,week_return,week_tg_wuxing,week_dz_wuxing,week_tg_mode,week_volatility,week_abs_return
2010-W01,2010-01-04,2010-01-08,-0.04920360415496713,木,木,木,0.017339622419385817,0.01534700627712493
2010-W02,2010-01-11,2010-01-15,0.06209115926788743,金,金,木,0.021484783881804213,0.017456390587897174
2010-W03,2010-01-18,2010-01-22,-0.08074388802247032,土,土,土,0.02152267178034849,0.019541884436153397
2010-W04,2010-01-25,2010-01-29,-0.0273711967961319,木,水,土,0.02126176053436189,0.01681890622681341
2010-W05,2010-02-01,2010-02-05,-0.030372578645914028,水,火,木,0.018707186968167477,0.014818525435824553
2010-W06,2010-02-08,2010-02-12,0.020188880744227963,土,土,水,0.007158102268420307,0.0061849172339520225
2010-W08,2010-02-22,2010-02-26,-0.027437528404986682,水,木,木,0.018932683926170063,0.01834826994016755
2010-W09,2010-03-01,2010-03-05,-0.003880759853684477,金,土,水,0.0080255322231118,0.006578141182893295
2010-W10,2010-03-08,2010-03-12,-0.03536998072074789,火,火,土,0.007715553515602281,0.008001975305244262
2010-W11,2010-03-15,2010-03-19,0.060669217887528534,木,水,木,0.024981386849874894,0.019719044727700332
2010-W12,2010-03-22,2010-03-26,0.01240051319845501,金,土,木,0.01129726690385552,0.006547104223796403
2010-W13,2010-03-29,2010-04-02,-0.020633709828951918,土,木,土,0.014317936273091565,0.012346944242506864
2010-W14,2010-04-06,2010-04-09,0.0003565698023159604,火,土,土,0.01591157488581828,0.013088361083941132
2010-W15,2010-04-12,2010-04-15,0.0523828169213311,水,土,木,0.020763224711263635,0.017864608956223424
2010-W16,2010-04-19,2010-04-23,0.03866914115915412,土,水,水,0.02910214673373572,0.019584330878280685
2010-W17,2010-04-26,2010-04-30,-0.06230133049554538,火,火,土,0.01407753332640507,0.019621438248936838
2010-W18,2010-05-04,2010-05-07,-0.024635579996228573,木,木,木,0.028959988725314446,0.02086722453971704
2010-W19,2010-05-10,2010-05-14,-0.0305786271054941,金,金,水,0.024460397026877915,0.01849963116730858
2010-W20,2010-05-17,2010-05-21,0.0457906350002423,火,木,土,0.03406685606758027,0.02088039168590925
2010-W21,2010-05-24,2010-05-28,-0.0027445616130276186,木,土,木,0.020764578992464387,0.015953611286784287
2010-W22,2010-05-31,2010-06-04,0.0056157387856357035,金,火,木,0.018065836639409465,0.014052471265895056
2010-W23,2010-06-07,2010-06-11,0.040649768339884394,土,水,土,0.016690732846037747,0.016371587079400247
2010-W24,2010-06-17,2010-06-18,-0.025516595381823572,土,土,土,0.0038155465509380486,0.028214594221924807
2010-W25,2010-06-21,2010-06-25,-0.02269764684061571,水,木,木,0.024414206836280324,0.016494825466549866
2010-W26,2010-06-28,2010-07-02,-0.07164921577364676,土,金,水,0.014478143692434227,0.017388126623557647
2010-W27,2010-07-05,2010-07-09,0.057629112836636215,火,土,土,0.021686249231414195,0.0157040544594709
2010-W28,2010-07-12,2010-07-16,0.03229898723014011,水,水,木,0.016573237489132427,0.011391289826291381
2010-W29,2010-07-19,2010-07-23,0.03677294551797053,金,火,水,0.008685058300208352,0.01217963644131929
2010-W30,2010-07-26,2010-07-30,-0.006100862274910432,火,土,土,0.012949169897814135,0.00946114861047936
2010-W31,2010-08-02,2010-08-06,0.020696243376232795,木,金,木,0.023080103719425985,0.019288170954096403
2010-W32,2010-08-09,2010-08-13,0.006313362056592027,金,木,木,0.023150573154549034,0.01753867354613715
2010-W33,2010-08-16,2010-08-20,-0.03883344147736381,土,土,土,0.018726029856025693,0.014221982753757387
2010-W34,2010-08-23,2010-08-27,0.003005512364276909,木,火,土,0.0025701937551404156,0.002338498735445204
2010-W35,2010-08-30,2010-09-03,0.0159652788475332,水,水,木,0.02642232201627581,0.020704028151472677
