pair,mean_diff_bps,std_diff_bps,t_stat,n_windows
木-金,-4.442475588099781,90.02062415590633,-1.276427314264948,669
木-水,8.295400333606771,52.048448499652224,4.12232872355865,669
木-火,84.43868315712518,89.13796088119886,24.501451632864942,669
水-金,-12.737875921706546,71.36213140049928,-4.616812745369487,669
水-火,76.14328282351842,64.83956193675847,30.374181504141433,669
火-金,-88.88115874522498,65.83815469160909,-34.91765878723315,669
土-金,-67.61778804463486,72.87862089547811,-23.997935010809183,669
土-木,-63.175312456535075,71.0447571595848,-23.00003110344723,669
土-水,-54.8799121229283,70.67425503958192,-20.084694339480986,669
土-火,21.263370700590126,91.79010974254676,5.991689238831671,669
