年月,收益率,天干,地支,五行_干,五行_支,月
2010-01,-0.004195408665132192,乙,卯,木,木,1
2010-02,0.0014447939965798998,壬,午,水,火,2
2010-03,0.0008619279827908526,庚,戌,金,土,3
2010-04,-0.003704710049732242,辛,巳,金,火,4
2010-05,-0.004888832848572128,甲,寅,木,木,5
2010-06,-0.003968761468184759,壬,午,水,火,6
2010-07,0.004399786638037387,壬,子,水,水,7
2010-08,0.0001015306916984825,甲,申,木,金,8
2010-09,0.00038319282317945155,甲,寅,木,木,9
2010-10,0.0073032883144767,辛,卯,金,木,10
2010-11,-0.002316930782254034,乙,卯,木,木,11
2010-12,-0.00011928931713297033,乙,酉,木,金,12
2011-01,-0.00021535967312135695,己,未,土,土,1
2011-02,0.002746942265799198,丁,亥,火,水,2
2011-03,0.0003811985634216021,乙,卯,木,木,3
2011-04,-0.0002596475713866985,丙,戌,火,土,4
2011-05,-0.0027760763348553476,戊,午,土,火,5
2011-06,0.0003750189176735213,丁,亥,火,水,6
2011-07,-0.001000835189403468,丁,巳,火,火,7
2011-08,-0.0021265105361973373,戊,子,土,水,8
2011-09,-0.003942451211083709,己,未,土,土,9
2011-10,0.00292069208514123,戊,戌,土,土,10
2011-11,-0.0024756890673255623,庚,申,金,金,11
2011-12,-0.0026254204738617574,庚,寅,金,木,12
2012-01,0.0029248151181547073,甲,子,木,水,1
2012-02,0.0027882372978930625,壬,辰,水,土,2
2012-03,-0.0031455775360646476,辛,酉,金,金,3
2012-04,0.003417936292836729,丙,申,火,金,4
2012-05,-0.00041893798068835683,癸,亥,水,水,5
2012-06,-0.0031416182502998157,癸,巳,水,火,6
2012-07,-0.002521259606543712,甲,子,木,水,7
2012-08,-0.0011450183654759757,甲,午,木,火,8
2012-09,0.0010271321542172419,丁,卯,火,木,9
2012-10,-0.000431883616937196,壬,寅,水,木,10
2012-11,-0.001955099250049633,丙,寅,火,木,11
2012-12,0.0065939462997339614,戊,戌,土,土,12
2013-01,0.0025625061326405353,庚,午,金,火,1
2013-02,-0.00047873842755783433,戊,戌,土,土,2
2013-03,-0.0025660677735116965,丙,寅,火,木,3
2013-04,-0.0014269567507738852,丁,酉,火,金,4
2013-05,0.0025220665866185665,戊,辰,土,土,5
2013-06,-0.008693032787435887,庚,子,金,水,6
2013-07,0.00040506151343679673,戊,辰,土,土,7
2013-08,0.002362509845818024,己,亥,土,水,8
2013-09,0.0019501578895618006,辛,未,金,土,9
2013-10,-0.0007962885534924216,丁,未,火,土,10
2013-11,0.0017699685213120968,辛,未,金,土,11
2013-12,-0.0021493597855655948,壬,寅,水,木,12
2014-01,-0.001546929386392809,癸,酉,水,金,1
2014-02,0.0002499347791427506,己,酉,土,金,2
2014-03,-0.0004789112840642878,癸,酉,水,金,3
2014-04,-0.00012277686406892392,壬,寅,水,木,4
2014-05,0.00034064666154603465,丙,子,火,水,5
2014-06,0.0002447967387244288,乙,巳,木,火,6
2014-07,0.003166631422353251,癸,酉,水,金,7
2014-08,0.00036617420724060514,甲,辰,木,土,8
2014-09,0.0030884445727877427,乙,亥,木,水,9
2014-10,0.0013460590749999552,壬,子,水,水,10
2014-11,0.0052058852923426045,戊,寅,土,木,11
2014-12,0.008402226418923433,丙,午,火,火,12
2015-01,-4.7967621363170786e-05,辛,巳,金,火,1
2015-02,0.002139177954505082,己,酉,土,金,2
2015-03,0.005733085771855374,丁,丑,火,土,3
2015-04,0.008222743538312987,丁,未,火,土,4
2015-05,0.002201267632473364,庚,辰,金,土,5
2015-06,-0.003037596223293164,戊,申,土,金,6
2015-07,-0.006067829454233183,戊,寅,土,木,7
2015-08,-0.005609593434514784,辛,亥,金,水,8
2015-09,-0.002347636422171045,庚,辰,金,土,9
2015-10,0.006173815449045422,丁,巳,火,火,10
2015-11,0.0010404422206043086,壬,午,水,火,11
2015-12,0.0012468699456224459,辛,亥,金,水,12
2016-01,-0.01222034944560806,乙,酉,木,金,1
2016-02,-0.0008861420223264804,癸,丑,水,土,2
2016-03,0.004946590795627132,壬,午,水,火,3
2016-04,-0.001057244198513152,癸,丑,水,土,4
2016-05,-0.0002711337510025751,乙,酉,木,金,5
2016-06,0.00027189899153098884,甲,寅,木,木,6
2016-07,0.0008370894536162106,甲,申,木,金,7
2016-08,0.0015497692362236738,乙,卯,木,木,8
2016-09,-0.0013017395667326791,丙,戌,火,土,9
2016-10,0.0019826390048471934,乙,丑,木,土,10
2016-11,0.002160243351135546,丁,亥,火,水,11
2016-12,-0.0020643356174870394,丁,巳,火,火,12
2017-01,0.0009970462341357925,庚,寅,金,木,1
2017-02,0.0014477093092408004,辛,酉,金,金,2
2017-03,-0.00024580698766676055,丁,亥,火,水,3
2017-04,-0.0011602286076116007,壬,戌,水,土,4
2017-05,-0.0005818626236051116,己,丑,土,土,5
2017-06,0.001097105679535637,己,未,土,土,6
2017-07,0.0012021822949229075,辛,卯,金,木,7
