周标签,收益率,天数,天干,地支,五行_干
2010-01_W1,-0.003636740142367062,4,乙,卯,木
2010-01_W2,0.0019093660524766465,5,辛,酉,金
2010-01_W3,-0.005918019499759475,5,戊,辰,土
2010-01_W4,-0.009024507366325851,5,乙,亥,木
2010-02_W5,-0.0032488788147218006,5,壬,午,水
2010-02_W6,0.005313715179514111,5,己,丑,土
2010-02_W8,0.002269545624947389,5,癸,卯,水
2010-03_W10,-0.0011402332572358453,5,丁,巳,火
2010-03_W11,0.0036337528934292872,5,甲,子,木
2010-03_W12,-0.00048584321578037937,5,辛,未,金
2010-03_W13,0.005416597064871705,3,戊,寅,土
2010-03_W9,-0.0012927659384981637,5,庚,戌,金
2010-04_W13,0.007835646072244074,2,辛,巳,金
2010-04_W14,-0.0009787682622143523,4,丙,戌,火
2010-04_W15,-0.0009336021914028603,5,壬,辰,水
2010-04_W16,-0.009319249720217294,5,己,亥,土
2010-04_W17,-0.007658174116381411,5,丙,午,火
2010-05_W18,-0.016108141768538586,4,甲,寅,木
2010-05_W19,0.0006959962162770949,5,庚,申,金
2010-05_W20,-0.008257835122201861,5,丁,卯,火
2010-05_W21,0.005684103879150837,5,甲,戌,木
2010-05_W22,-0.02395541476341856,1,辛,巳,金
2010-06_W22,-0.0037287215618879432,4,壬,午,水
2010-06_W23,0.0013872480440437096,5,戊,子,土
2010-06_W24,-0.011069919269781736,2,戊,戌,土
2010-06_W25,0.0032176257080275715,5,壬,寅,水
2010-06_W26,-0.02045870395625053,3,己,酉,土
2010-07_W26,-0.003205236544829182,2,壬,子,水
2010-07_W27,0.007353001719040653,5,丙,辰,火
2010-07_W28,-0.0037371118741157615,5,癸,亥,水
2010-07_W29,0.01193575959357882,5,庚,午,金
2010-07_W30,0.005089506386792464,5,丁,丑,火
2010-08_W31,0.0016514615383236507,5,甲,申,木
2010-08_W32,-0.0038072399632959495,5,辛,卯,金
2010-08_W33,0.0027950592654621296,5,戊,戌,土
2010-08_W34,-0.002358606985388212,5,乙,巳,木
2010-08_W35,0.00541515297092926,2,壬,子,水
2010-09_W35,0.0021219316874215113,3,甲,寅,木
2010-09_W36,0.0006331129553298842,5,己,未,土
2010-09_W37,-0.0048417423159390575,5,丙,寅,火
2010-09_W38,-0.0013714736908134184,2,癸,酉,水
2010-09_W39,0.006175240690704437,4,庚,辰,金
2010-10_W40,0.03128640811429784,1,辛,卯,金
2010-10_W41,0.01647445279987525,5,甲,午,木
2010-10_W42,0.0002942299892518374,5,辛,丑,金
2010-10_W43,0.00034455819433878434,5,戊,申,土
2010-11_W44,0.009986200199538664,5,乙,卯,木
2010-11_W45,-0.009120108608511156,5,壬,戌,水
2010-11_W46,-0.006372549528055193,5,己,巳,土
2010-11_W47,-0.0010941320244642228,5,丙,子,火
2010-11_W48,-0.008984763701064602,2,癸,未,水
2010-12_W48,0.002628242202602271,3,乙,酉,木
2010-12_W49,-5.2925746231524685e-05,5,庚,寅,金
2010-12_W50,0.003762875399153054,5,丁,酉,火
2010-12_W51,-0.00401917334428743,5,甲,辰,木
2010-12_W52,-0.0018164524890071255,5,辛,亥,金
2011-01_W1,0.0027612318958908366,4,己,未,土
2011-01_W2,-0.0033211190553874338,5,乙,丑,木
2011-01_W3,-0.0052917509121521485,5,壬,申,水
2011-01_W4,0.0027856389288073878,5,己,卯,土
2011-01_W5,0.013784034147670488,1,丙,戌,火
2011-02_W5,0.0029619872332831143,1,丁,亥,火
2011-02_W6,0.003418090244916091,3,乙,未,木
2011-02_W7,0.00514078775115463,5,庚,子,金
2011-02_W8,-0.0013835739774508804,5,丁,未,火
2011-02_W9,0.009201807150437835,1,甲,寅,木
2011-03_W10,-0.0005169542059680454,5,辛,酉,金
2011-03_W11,-0.0017943766112208603,5,戊,辰,土
2011-03_W12,0.0048437883390132445,5,乙,亥,木
2011-03_W13,-0.0041868691461124374,4,壬,午,水
2011-03_W9,0.0032131889835062266,4,乙,卯,木
2011-04_W13,0.013421280818930681,1,丙,戌,火
2011-04_W14,0.006991416868778429,3,辛,卯,金
2011-04_W15,0.0013599877378513315,5,丙,申,火
2011-04_W16,-0.0025953184750644896,5,癸,卯,水
2011-04_W17,-0.00663043631910949,5,庚,戌,金
2011-05_W18,-0.004050557040651853,4,戊,午,土
2011-05_W19,0.0005315598334639793,5,甲,子,木
2011-05_W20,-0.0008646311941677975,5,辛,未,金
2011-05_W21,-0.010563850822566034,5,戊,寅,土
2011-05_W22,0.006194618023497189,2,乙,酉,木
2011-06_W22,-0.0018379777783788704,3,丁,亥,火
2011-06_W23,-0.002063404245039896,4,癸,巳,水
2011-06_W24,-0.004611442588072045,5,己,亥,土
2011-06_W25,0.007758501356757641,5,丙,午,火
2011-06_W26,0.0014769134357530411,4,癸,丑,水
2011-07_W26,-0.0009825942515702124,1,丁,巳,火
2011-07_W27,0.00280606505055907,5,庚,申,金
2011-07_W28,0.0016505338216540766,5,丁,卯,火
2011-07_W29,-0.0035170498921943683,5,甲,戌,木
2011-07_W30,-0.004946537925199302,5,辛,巳,金
2011-08_W31,-0.005598296455959484,5,戊,子,土
2011-08_W32,-0.0023742384661576744,5,乙,未,木
2011-08_W33,-0.0045302110262357195,5,壬,寅,水
2011-08_W34,0.006163971900008214,5,己,酉,土
2011-08_W35,-0.0057386240302718106,3,丙,辰,火
2011-09_W35,-0.007630993798472152,2,己,未,土
2011-09_W36,-0.002351241861336839,5,癸,亥,水
2011-09_W37,-0.0015284250929482601,4,辛,未,金
2011-09_W38,-0.0038180013783933207,5,丁,丑,火
2011-09_W39,-0.006113914253073949,5,甲,申,木
2011-10_W41,0.006126920339704767,5,戊,戌,土
2011-10_W42,-0.00951390779719019,5,乙,巳,木
2011-10_W43,0.013150439870546472,5,壬,子,水
2011-10_W44,-0.002086188703045555,1,己,未,土
2011-11_W44,0.006040882457902463,4,庚,申,金
2011-11_W45,-0.00372410970399053,5,丙,寅,火
2011-11_W46,-0.00513454032052465,5,癸,酉,水
2011-11_W47,-0.0030194295677713036,5,庚,辰,金
2011-11_W48,-0.006412763783779936,3,丁,亥,火
2011-12_W48,0.005964774057637734,2,庚,寅,金
2011-12_W49,-0.003863793807288607,5,甲,午,木
2011-12_W50,-0.007827689361778356,5,辛,丑,金
2011-12_W51,-0.0017898982468569137,5,戊,申,土
2011-12_W52,-0.00045637829212294976,5,乙,卯,木
2012-01_W1,-0.0054495249725732275,3,甲,子,木
2012-01_W2,0.007540724771703066,5,己,巳,土
2012-01_W3,0.006779737855905066,5,丙,子,火
2012-01_W5,-0.005690755724000185,2,庚,寅,金
2012-02_W5,0.005542747167857483,3,壬,辰,水
2012-02_W6,0.001929988977154773,5,丁,酉,火
2012-02_W7,0.00045303171286337207,5,甲,辰,木
2012-02_W8,0.006906902594556641,5,辛,亥,金
2012-02_W9,-0.0015082915568973565,3,戊,午,土
2012-03_W10,-0.0016871210773346634,5,乙,丑,木
2012-03_W11,-0.0027671932563371414,5,壬,申,水
2012-03_W12,-0.004611946547277634,5,己,卯,土
2012-03_W13,-0.007429415489948532,5,丙,戌,火
2012-03_W9,0.006637838030533805,2,辛,酉,金
2012-04_W14,0.009654264164385418,2,丙,申,火
2012-04_W15,0.004560225553071962,5,庚,子,金
2012-04_W16,0.004064661881314091,5,丁,未,火
2012-04_W17,-0.0008656097044953404,5,甲,寅,木
2012-05_W18,0.007714002187221292,3,癸,亥,水
2012-05_W19,-0.004675119213187506,5,戊,辰,土
2012-05_W20,-0.004199933454361604,5,乙,亥,木
2012-05_W21,-0.0009161754381109555,5,壬,午,水
2012-05_W22,0.004149374597873151,4,己,丑,土
2012-06_W22,0.0005066953765944238,1,癸,巳,水
2012-06_W23,-0.007821627929767327,5,丙,申,火
2012-06_W24,0.0022590395248215157,5,癸,卯,水
2012-06_W25,-0.004999049622343682,4,庚,戌,金
2012-06_W26,-0.0031059839736973906,5,丁,巳,火
2012-07_W27,-0.00014241796995320132,5,甲,子,木
2012-07_W28,-0.003355754337680228,5,辛,未,金
2012-07_W29,-0.0015388431946955273,5,戊,寅,土
2012-07_W30,-0.0036901680015711813,5,乙,酉,木
2012-07_W31,-0.005915896912230489,2,壬,辰,水
2012-08_W31,0.004626574476863506,3,甲,午,木
2012-08_W32,0.0033646789115342026,5,己,亥,土
2012-08_W33,-0.004998135182996899,5,丙,午,火
2012-08_W34,-0.0021492705093495213,5,癸,丑,水
2012-08_W35,-0.0042603023864953736,5,庚,申,金
2012-09_W36,0.007836053046563629,5,丁,卯,火
2012-09_W37,-0.0003520096324828081,5,甲,戌,木
2012-09_W38,-0.009264874946082946,5,辛,巳,金
2012-09_W39,0.005889360148871092,5,戊,子,土
2012-10_W41,0.0018392606260052347,5,壬,寅,水
2012-10_W42,0.002225647979804668,5,己,酉,土
2012-10_W43,-0.005880577712235491,5,丙,辰,火
2012-10_W44,0.0004348134757528044,3,癸,亥,水
2012-11_W44,0.011589086058801157,2,丙,寅,火
2012-11_W45,-0.00455629754949245,5,庚,午,金
2012-11_W46,-0.005275247178824438,5,丁,丑,火
2012-11_W47,0.0012743776780851368,5,甲,申,木
2012-11_W48,-0.004680904073507098,5,辛,卯,金
2012-12_W1,0.01606446563128583,1,丙,寅,火
2012-12_W49,0.008206765517253235,5,戊,戌,土
2012-12_W50,0.00864413233624286,5,乙,巳,木
2012-12_W51,0.0002573052641715812,5,壬,子,水
