ts_code,rank,entry_month,buy_ganzhi,buy_wuxing,holding_months,sell_month,sell_ganzhi,return
000001.SH,1,2014-11,乙亥(水),水,1,2014-12,丙子(水),8.437244
000001.SH,2,2015-03,己卯(木),木,1,2015-04,庚辰(土),6.675063
000001.SH,3,2024-08,壬申(金),金,1,2024-09,癸酉(金),5.84871
000001.SH,4,2015-02,戊寅(木),木,2,2015-04,庚辰(土),4.835277
000001.SH,5,2014-10,甲戌(土),土,2,2014-12,丙子(水),4.700364
000001.SH,6,2012-11,辛亥(水),水,1,2012-12,壬子(水),4.128848
000001.SH,7,2019-01,乙丑(土),土,1,2019-02,丙寅(木),3.71188
000001.SH,8,2015-02,戊寅(木),木,1,2015-03,己卯(木),3.436505
000001.SH,9,2010-09,乙酉(金),金,1,2010-10,丙戌(土),2.967279
000001.SH,10,2016-02,庚寅(木),木,1,2016-03,辛卯(木),2.794398
000688.SH,1,2025-07,癸未(土),土,1,2025-08,甲申(金),18.349342
000688.SH,2,2024-08,壬申(金),金,1,2024-09,癸酉(金),14.517912
000688.SH,3,2026-03,辛卯(木),木,1,2026-04,壬辰(土),13.625006
000688.SH,4,2025-07,癸未(土),土,2,2025-09,乙酉(金),7.44317
000688.SH,5,2026-03,辛卯(木),木,2,2026-05,癸巳(火),6.82419
000688.SH,6,2024-08,壬申(金),金,2,2024-10,甲戌(土),6.41949
000688.SH,7,2024-01,乙丑(土),土,1,2024-02,丙寅(木),6.242439
000688.SH,8,2020-05,辛巳(火),火,1,2020-06,壬午(火),5.055258
000688.SH,9,2025-06,壬午(火),火,2,2025-08,甲申(金),4.705546
000688.SH,10,2025-06,壬午(火),火,3,2025-09,乙酉(金),3.931508
000858.SZ,1,2019-02,丙寅(木),木,1,2019-03,丁卯(木),29.269795
000858.SZ,2,2024-08,壬申(金),金,1,2024-09,癸酉(金),27.211582
000858.SZ,3,2020-06,壬午(火),火,1,2020-07,癸未(土),16.778799
000858.SZ,4,2019-01,乙丑(土),土,2,2019-03,丁卯(木),14.291045
000858.SZ,5,2016-02,庚寅(木),木,1,2016-03,辛卯(木),13.771064
000858.SZ,6,2018-12,甲子(水),水,3,2019-03,丁卯(木),11.153639
000858.SZ,7,2017-11,辛亥(水),水,1,2017-12,壬子(水),9.627006
000858.SZ,8,2020-05,辛巳(火),火,2,2020-07,癸未(土),8.992333
000858.SZ,9,2019-02,丙寅(木),木,2,2019-04,戊辰(土),7.608858
000858.SZ,10,2019-01,乙丑(土),土,3,2019-04,戊辰(土),7.303324
300750.SZ,1,2020-11,丁亥(水),水,1,2020-12,戊子(水),82.624409
300750.SZ,2,2024-08,壬申(金),金,1,2024-09,癸酉(金),41.373509
300750.SZ,3,2025-08,甲申(金),金,1,2025-09,乙酉(金),25.241591
300750.SZ,4,2022-05,乙巳(火),火,1,2022-06,丙午(火),24.26824
300750.SZ,5,2019-10,甲戌(土),土,1,2019-11,乙亥(水),16.967706
300750.SZ,6,2019-10,甲戌(土),土,2,2019-12,丙子(水),12.78889
300750.SZ,7,2019-10,甲戌(土),土,3,2020-01,丁丑(土),12.040487
300750.SZ,8,2025-07,癸未(土),土,2,2025-09,乙酉(金),11.291902
300750.SZ,9,2021-05,癸巳(火),火,1,2021-06,甲午(火),11.224145
300750.SZ,10,2019-12,丙子(水),水,1,2020-01,丁丑(土),10.663336
399001.SZ,1,2024-08,壬申(金),金,1,2024-09,癸酉(金),15.20817
399001.SZ,2,2014-11,乙亥(水),水,1,2014-12,丙子(水),10.257322
399001.SZ,3,2019-01,乙丑(土),土,1,2019-02,丙寅(木),8.618216
399001.SZ,4,2010-09,乙酉(金),金,1,2010-10,丙戌(土),5.286403
399001.SZ,5,2014-10,甲戌(土),土,2,2014-12,丙子(水),4.765107
399001.SZ,6,2015-09,乙酉(金),金,1,2015-10,丙戌(土),4.692817
399001.SZ,7,2012-11,辛亥(水),水,1,2012-12,壬子(水),4.54959
399001.SZ,8,2025-07,癸未(土),土,1,2025-08,甲申(金),4.529993
399001.SZ,9,2019-01,乙丑(土),土,2,2019-03,丁卯(木),4.401109
399001.SZ,10,2016-02,庚寅(木),木,1,2016-03,辛卯(木),4.306866
399006.SZ,1,2024-08,壬申(金),金,1,2024-09,癸酉(金),45.165629
399006.SZ,2,2019-01,乙丑(土),土,1,2019-02,丙寅(木),13.631182
399006.SZ,3,2025-07,癸未(土),土,1,2025-08,甲申(金),12.381484
399006.SZ,4,2015-04,庚辰(土),土,1,2015-05,辛巳(火),12.172776
399006.SZ,5,2015-03,己卯(木),木,2,2015-05,辛巳(火),11.195491
399006.SZ,6,2015-02,戊寅(木),木,3,2015-05,辛巳(火),10.400932
399006.SZ,7,2015-03,己卯(木),木,1,2015-04,庚辰(土),10.290711
399006.SZ,8,2015-02,戊寅(木),木,2,2015-04,庚辰(土),9.606495
399006.SZ,9,2015-02,戊寅(木),木,1,2015-03,己卯(木),8.963743
399006.SZ,10,2013-04,丙辰(土),土,1,2013-05,丁巳(火),8.51162
601288.SH,1,2014-11,乙亥(水),水,1,2014-12,丙子(水),22.678111
601288.SH,2,2014-10,甲戌(土),土,2,2014-12,丙子(水),8.26408
601288.SH,3,2025-09,乙酉(金),金,1,2025-10,丙戌(土),7.345368
601288.SH,4,2017-12,壬子(水),水,1,2018-01,癸丑(土),5.217755
601288.SH,5,2014-09,癸酉(金),金,3,2014-12,丙子(水),3.928294
601288.SH,6,2025-07,癸未(土),土,1,2025-08,甲申(金),2.664039
601288.SH,7,2014-10,甲戌(土),土,1,2014-11,乙亥(水),2.624579
601288.SH,8,2024-11,乙亥(水),水,1,2024-12,丙子(水),2.50553
601288.SH,9,2014-10,甲戌(土),土,3,2015-01,丁丑(土),2.33691
601288.SH,10,2014-11,乙亥(水),水,2,2015-01,丁丑(土),2.201754
801010.SI,1,2015-04,庚辰(土),土,1,2015-05,辛巳(火),12.898827
801010.SI,2,2019-01,乙丑(土),土,1,2019-02,丙寅(木),9.847856
801010.SI,3,2015-02,戊寅(木),木,1,2015-03,己卯(木),8.870559
801010.SI,4,2019-01,乙丑(土),土,2,2019-03,丁卯(木),7.685192
801010.SI,5,2024-08,壬申(金),金,1,2024-09,癸酉(金),7.466671
801010.SI,6,2015-02,戊寅(木),木,3,2015-05,辛巳(火),7.201835
801010.SI,7,2015-03,己卯(木),木,2,2015-05,辛巳(火),6.476454
801010.SI,8,2019-02,丙寅(木),木,1,2019-03,丁卯(木),5.953684
801010.SI,9,2012-11,辛亥(水),水,1,2012-12,壬子(水),5.698736
801010.SI,10,2015-02,戊寅(木),木,2,2015-04,庚辰(土),5.300536
801030.SI,1,2024-08,壬申(金),金,1,2024-09,癸酉(金),8.40564
801030.SI,2,2015-04,庚辰(土),土,1,2015-05,辛巳(火),7.84052
801030.SI,3,2015-03,己卯(木),木,2,2015-05,辛巳(火),6.479078
801030.SI,4,2020-06,壬午(火),火,1,2020-07,癸未(土),6.458298
801030.SI,5,2015-02,戊寅(木),木,3,2015-05,辛巳(火),6.272465
801030.SI,6,2019-01,乙丑(土),土,1,2019-02,丙寅(木),6.236767
801030.SI,7,2015-02,戊寅(木),木,1,2015-03,己卯(木),5.876204
801030.SI,8,2015-09,乙酉(金),金,1,2015-10,丙戌(土),5.801602
801030.SI,9,2015-02,戊寅(木),木,2,2015-04,庚辰(土),5.596044
801030.SI,10,2015-03,己卯(木),木,1,2015-04,庚辰(土),5.327299
801040.SI,1,2014-11,乙亥(水),水,1,2014-12,丙子(水),11.597186
801040.SI,2,2024-08,壬申(金),金,1,2024-09,癸酉(金),9.728931
801040.SI,3,2015-03,己卯(木),木,1,2015-04,庚辰(土),7.861155
801040.SI,4,2015-02,戊寅(木),木,2,2015-04,庚辰(土),7.106651
801040.SI,5,2015-02,戊寅(木),木,1,2015-03,己卯(木),6.416392
801040.SI,6,2021-06,甲午(火),火,1,2021-07,乙未(土),5.990547
801040.SI,7,2021-06,甲午(火),火,2,2021-08,丙申(金),5.980815
801040.SI,8,2021-07,乙未(土),土,1,2021-08,丙申(金),5.971097
801040.SI,9,2014-10,甲戌(土),土,2,2014-12,丙子(水),5.49146
801040.SI,10,2025-06,壬午(火),火,1,2025-07,癸未(土),5.420241
801050.SI,1,2021-06,甲午(火),火,1,2021-07,乙未(土),17.285152
801050.SI,2,2019-01,乙丑(土),土,1,2019-02,丙寅(木),10.656153
801050.SI,3,2021-06,甲午(火),火,2,2021-08,丙申(金),10.543543
801050.SI,4,2025-12,戊子(水),水,1,2026-01,己丑(土),10.524613
801050.SI,5,2017-06,丙午(火),火,1,2017-07,丁未(土),8.425979
801050.SI,6,2020-10,丙戌(土),土,1,2020-11,丁亥(水),8.383191
801050.SI,7,2020-06,壬午(火),火,1,2020-07,癸未(土),8.182711
801050.SI,8,2024-08,壬申(金),金,1,2024-09,癸酉(金),7.566009
801050.SI,9,2025-07,癸未(土),土,1,2025-08,甲申(金),6.990309
801050.SI,10,2025-11,丁亥(水),水,2,2026-01,己丑(土),6.327318
801080.SI,1,2015-04,庚辰(土),土,1,2015-05,辛巳(火),22.56312
801080.SI,2,2019-01,乙丑(土),土,1,2019-02,丙寅(木),19.787228
801080.SI,3,2026-03,辛卯(木),木,1,2026-04,壬辰(土),16.264076
801080.SI,4,2025-07,癸未(土),土,1,2025-08,甲申(金),13.258365
801080.SI,5,2013-04,丙辰(土),土,1,2013-05,丁巳(火),9.212151
801080.SI,6,2015-03,己卯(木),木,2,2015-05,辛巳(火),8.649204
801080.SI,7,2015-02,戊寅(木),木,3,2015-05,辛巳(火),8.520041
801080.SI,8,2015-02,戊寅(木),木,1,2015-03,己卯(木),8.266878
801080.SI,9,2026-03,辛卯(木),木,2,2026-05,癸巳(火),7.324235
801080.SI,10,2020-05,辛巳(火),火,1,2020-06,壬午(火),7.195816
801110.SI,1,2024-08,壬申(金),金,1,2024-09,癸酉(金),9.771691
801110.SI,2,2015-03,己卯(木),木,1,2015-04,庚辰(土),6.765543
801110.SI,3,2015-02,戊寅(木),木,2,2015-04,庚辰(土),5.156406
801110.SI,4,2015-03,己卯(木),木,2,2015-05,辛巳(火),4.660118
801110.SI,5,2015-02,戊寅(木),木,3,2015-05,辛巳(火),4.387384
801110.SI,6,2015-02,戊寅(木),木,1,2015-03,己卯(木),3.880707
801110.SI,7,2015-09,乙酉(金),金,1,2015-10,丙戌(土),3.727457
801110.SI,8,2022-10,庚戌(土),土,1,2022-11,辛亥(水),3.564564
801110.SI,9,2018-12,甲子(水),水,1,2019-01,乙丑(土),3.363333
801110.SI,10,2015-01,丁丑(土),土,3,2015-04,庚辰(土),3.313002
801120.SI,1,2024-08,壬申(金),金,1,2024-09,癸酉(金),13.06393
801120.SI,2,2020-11,丁亥(水),水,1,2020-12,戊子(水),6.277816
801120.SI,3,2020-06,壬午(火),火,1,2020-07,癸未(土),5.775907
801120.SI,4,2018-04,丙辰(土),土,1,2018-05,丁巳(火),5.711988
801120.SI,5,2022-10,庚戌(土),土,1,2022-11,辛亥(水),5.318905
801120.SI,6,2015-03,己卯(木),木,1,2015-04,庚辰(土),5.290287
801120.SI,7,2016-02,庚寅(木),木,1,2016-03,辛卯(木),5.136045
801120.SI,8,2019-02,丙寅(木),木,1,2019-03,丁卯(木),5.071601
801120.SI,9,2020-06,壬午(火),火,2,2020-08,甲申(金),4.149214
801120.SI,10,2019-01,乙丑(土),土,2,2019-03,丁卯(木),4.022087
801130.SI,1,2015-02,戊寅(木),木,1,2015-03,己卯(木),12.237058
801130.SI,2,2015-04,庚辰(土),土,1,2015-05,辛巳(火),11.905729
801130.SI,3,2015-02,戊寅(木),木,3,2015-05,辛巳(火),10.53919
801130.SI,4,2015-02,戊寅(木),木,2,2015-04,庚辰(土),9.91118
801130.SI,5,2015-03,己卯(木),木,2,2015-05,辛巳(火),9.773759
801130.SI,6,2015-03,己卯(木),木,1,2015-04,庚辰(土),7.993981
801130.SI,7,2024-08,壬申(金),金,1,2024-09,癸酉(金),7.685806
801130.SI,8,2015-09,乙酉(金),金,1,2015-10,丙戌(土),6.792294
801130.SI,9,2015-01,丁丑(土),土,3,2015-04,庚辰(土),5.63528
801130.SI,10,2012-11,辛亥(水),水,1,2012-12,壬子(水),5.593916
801140.SI,1,2015-04,庚辰(土),土,1,2015-05,辛巳(火),22.057931
801140.SI,2,2015-03,己卯(木),木,2,2015-05,辛巳(火),12.493226
801140.SI,3,2015-02,戊寅(木),木,3,2015-05,辛巳(火),12.033278
801140.SI,4,2015-02,戊寅(木),木,1,2015-03,己卯(木),11.159885
801140.SI,5,2024-08,壬申(金),金,1,2024-09,癸酉(金),10.869134
801140.SI,6,2015-02,戊寅(木),木,2,2015-04,庚辰(土),8.798742
801140.SI,7,2019-01,乙丑(土),土,1,2019-02,丙寅(木),7.208204
801140.SI,8,2015-03,己卯(木),木,1,2015-04,庚辰(土),6.896074
