wuxing,holding_period,mean,median,std,count
木,1m,0.80797,-0.086335,2.71337,1055
木,2m,0.507683,-0.06302,1.981913,1055
木,3m,0.300619,-0.047942,1.420053,1017
木,6m,0.087083,-0.009109,0.442686,979
木,9m,0.099904,0.050809,0.363536,979
木,12m,0.082322,0.009819,0.30546,979
木,24m,0.052404,0.015811,0.190161,903
火,1m,0.617026,0.104578,2.780533,990
火,2m,0.348795,0.079759,1.479979,990
火,3m,0.241279,0.067728,0.863513,990
火,6m,0.14893,0.04909,0.495375,990
火,9m,0.123928,0.039042,0.420401,990
火,12m,0.120528,-0.003728,0.464859,952
火,24m,0.05326,-0.002977,0.234074,876
土,1m,0.737466,0.153238,2.489422,2057
土,2m,0.429078,0.058638,1.871216,2019
土,3m,0.251294,0.012975,0.967397,2019
土,6m,0.142086,0.034944,0.526329,1981
土,9m,0.113443,0.038089,0.415908,1943
土,12m,0.092742,0.021974,0.344144,1905
土,24m,0.054039,0.008156,0.215971,1753
金,1m,0.925619,-0.008492,3.91395,1010
金,2m,0.3364,0.050044,1.067362,1010
金,3m,0.291777,0.067985,0.964727,1010
金,6m,0.152326,0.054718,0.455177,1010
金,9m,0.147766,0.016729,0.515756,972
金,12m,0.083037,0.034067,0.291801,934
金,24m,0.050348,0.009358,0.203857,858
水,1m,0.743191,-0.066223,5.764527,1028
水,2m,0.26724,0.004746,1.036117,1028
水,3m,0.251183,0.005882,0.904367,1028
水,6m,0.179017,-0.022742,0.722609,990
水,9m,0.07067,0.001954,0.343855,952
水,12m,0.082601,0.033979,0.305445,952
水,24m,0.056948,0.015228,0.225194,876
