行业五行,买入月份五行,中位数收益_1月,中位数收益_2月,中位数收益_3月,中位数收益_6月,中位数收益_9月,中位数收益_12月,中位数收益_24月
木,火,0.053,-0.061,-0.003,0.048,0.025,-0.023,-0.035
木,土,0.270,0.076,0.011,0.000,0.026,0.021,-0.010
木,木,-0.116,-0.118,-0.064,-0.036,0.042,-0.002,-0.001
木,金,0.010,0.089,0.052,0.037,-0.006,0.022,-0.000
木,水,-0.137,0.027,-0.000,-0.036,-0.006,0.004,0.003
火,火,0.412,0.181,0.173,0.141,0.094,0.019,0.009
火,土,0.176,0.148,0.090,0.101,0.112,0.066,0.046
火,木,-0.101,-0.073,0.013,0.046,0.131,0.055,0.059
火,金,-0.009,0.111,0.092,0.104,0.058,0.096,0.069
火,水,-0.032,0.029,0.037,-0.009,0.074,0.105,0.056
土,火,0.005,0.013,0.046,0.038,0.051,-0.001,0.001
土,土,0.055,0.024,0.003,0.032,0.031,0.013,0.001
土,木,-0.035,-0.044,-0.068,-0.015,0.026,0.006,0.013
土,金,0.019,0.070,0.092,0.067,0.020,0.028,-0.002
土,水,-0.063,-0.001,0.029,-0.038,-0.017,0.017,0.004
金,火,0.126,0.133,0.099,0.059,0.039,-0.011,-0.002
金,土,0.211,0.034,-0.010,0.026,0.024,0.005,0.019
金,木,-0.154,-0.181,-0.100,-0.034,-0.026,0.004,0.013
金,金,-0.054,0.001,0.099,0.063,-0.001,0.010,0.025
金,水,0.099,0.149,0.151,-0.020,-0.009,0.040,0.033
水,火,0.065,0.075,0.072,0.002,0.002,-0.010,0.004
水,土,0.138,0.072,0.004,0.041,0.030,0.017,0.021
水,木,0.011,0.029,0.021,0.034,0.053,0.009,0.019
水,金,-0.071,0.003,0.007,0.034,0.009,0.024,0.006
水,水,-0.081,-0.106,-0.065,-0.012,0.015,0.010,0.014
