month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2020-01,000688.SH,,丁,丑,火,土,土
2020-02,000688.SH,-0.00919,戊,寅,土,木,木
2020-03,000688.SH,-0.135431,己,卯,土,木,木
2020-04,000688.SH,0.132653,庚,辰,金,土,土
2020-05,000688.SH,0.068387,辛,巳,金,火,火
2020-06,000688.SH,0.161924,壬,午,水,火,火
2020-07,000688.SH,0.044956,癸,未,水,土,土
2020-08,000688.SH,-0.059314,甲,申,木,金,金
2020-09,000688.SH,-0.00312,乙,酉,木,金,金
2020-10,000688.SH,-0.01754,丙,戌,火,土,土
2020-11,000688.SH,-0.006046,丁,亥,火,水,水
2020-12,000688.SH,0.005445,戊,子,土,水,水
2021-01,000688.SH,0.020771,己,丑,土,土,土
2021-02,000688.SH,-0.067776,庚,寅,金,木,木
2021-03,000688.SH,-0.05828,辛,卯,金,木,木
2021-04,000688.SH,0.059205,壬,辰,水,土,土
2021-05,000688.SH,0.091079,癸,巳,水,火,火
2021-06,000688.SH,0.100889,甲,午,木,火,火
2021-07,000688.SH,0.00189,乙,未,木,土,土
2021-08,000688.SH,-0.094296,丙,申,火,金,金
2021-09,000688.SH,-0.050277,丁,酉,火,金,金
2021-10,000688.SH,0.020076,戊,戌,土,土,土
2021-11,000688.SH,0.056953,己,亥,土,水,水
2021-12,000688.SH,-0.05253,庚,子,金,水,水
2022-01,000688.SH,-0.120849,辛,丑,金,土,土
2022-02,000688.SH,0.016564,壬,寅,水,木,木
2022-03,000688.SH,-0.126863,癸,卯,水,木,木
2022-04,000688.SH,-0.131898,甲,辰,木,土,土
2022-05,000688.SH,0.093084,乙,巳,木,火,火
2022-06,000688.SH,0.067951,丙,午,火,火,火
2022-07,000688.SH,-0.015153,丁,未,火,土,土
2022-08,000688.SH,-0.054418,戊,申,土,金,金
2022-09,000688.SH,-0.08768,己,酉,土,金,金
2022-10,000688.SH,0.07553,庚,戌,金,土,土
2022-11,000688.SH,-0.009961,辛,亥,金,水,水
2022-12,000688.SH,-0.040347,壬,子,水,水,水
2023-01,000688.SH,0.056727,癸,丑,水,土,土
2023-02,000688.SH,-0.023553,甲,寅,木,木,木
2023-03,000688.SH,0.091951,乙,卯,木,木,木
2023-04,000688.SH,0.005851,丙,辰,火,土,土
2023-05,000688.SH,-0.031216,丁,巳,火,火,火
2023-06,000688.SH,-0.046266,戊,午,土,火,火
2023-07,000688.SH,-0.035971,己,未,土,土,土
2023-08,000688.SH,-0.027225,庚,申,金,金,金
2023-09,000688.SH,-0.05815,辛,酉,金,金,金
2023-10,000688.SH,-0.015087,壬,戌,水,土,土
2023-11,000688.SH,-0.009974,癸,亥,水,水,水
2023-12,000688.SH,-0.015803,甲,子,木,水,水
2024-01,000688.SH,-0.196188,乙,丑,木,土,土
2024-02,000688.SH,0.179389,丙,寅,火,木,木
2024-03,000688.SH,-0.05567,丁,卯,火,木,木
2024-04,000688.SH,0.006191,戊,辰,土,土,土
2024-05,000688.SH,-0.031579,己,巳,土,火,火
2024-06,000688.SH,-0.041913,庚,午,金,火,火
2024-07,000688.SH,0.043952,辛,未,金,土,土
2024-08,000688.SH,-0.066198,壬,申,水,金,金
2024-09,000688.SH,0.256713,癸,酉,水,金,金
2024-10,000688.SH,0.111287,甲,戌,木,土,土
2024-11,000688.SH,0.039139,乙,亥,木,水,水
2024-12,000688.SH,-0.018321,丙,子,火,水,水
2025-01,000688.SH,-0.034224,丁,丑,火,土,土
2025-02,000688.SH,0.129525,戊,寅,土,木,木
2025-03,000688.SH,-0.051987,己,卯,土,木,木
2025-04,000688.SH,-0.010068,庚,辰,金,土,土
2025-05,000688.SH,-0.034956,辛,巳,金,火,火
2025-06,000688.SH,0.027007,壬,午,水,火,火
2025-07,000688.SH,0.044305,癸,未,水,土,土
2025-08,000688.SH,0.280036,甲,申,木,金,金
2025-09,000688.SH,0.114796,乙,酉,木,金,金
2025-10,000688.SH,-0.053343,丙,戌,火,土,土
2025-11,000688.SH,-0.062433,丁,亥,火,水,水
2025-12,000688.SH,0.012848,戊,子,土,水,水
2026-01,000688.SH,0.1229,己,丑,土,土,土
2026-02,000688.SH,-0.014164,庚,寅,金,木,木
2026-03,000688.SH,-0.155707,辛,卯,金,木,木
2026-04,000688.SH,0.250522,壬,辰,水,土,土
2026-05,000688.SH,0.126718,癸,巳,水,火,火
