month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2018-06,300750.SZ,,戊,午,土,火,火
2018-07,300750.SZ,0.003613,己,未,土,土,土
2018-08,300750.SZ,-0.093049,庚,申,金,金,金
2018-09,300750.SZ,0.114504,辛,酉,金,金,金
2018-10,300750.SZ,0.020548,壬,戌,水,土,土
2018-11,300750.SZ,0.074228,癸,亥,水,水,水
2018-12,300750.SZ,-0.077846,甲,子,木,水,水
2019-01,300750.SZ,0.031436,乙,丑,木,土,土
2019-02,300750.SZ,0.152128,丙,寅,火,木,木
2019-03,300750.SZ,-0.030787,丁,卯,火,木,木
2019-04,300750.SZ,-0.061647,戊,辰,土,土,土
2019-05,300750.SZ,-0.129388,己,巳,土,火,火
2019-06,300750.SZ,-0.008065,庚,午,金,火,火
2019-07,300750.SZ,0.103368,辛,未,金,土,土
2019-08,300750.SZ,-0.049079,壬,申,水,金,金
2019-09,300750.SZ,-0.010654,癸,酉,水,金,金
2019-10,300750.SZ,-0.039021,甲,戌,木,土,土
2019-11,300750.SZ,0.272158,乙,亥,木,水,水
2019-12,300750.SZ,0.217252,丙,子,火,水,水
2020-01,300750.SZ,0.227162,丁,丑,火,土,土
2020-02,300750.SZ,0.03906,戊,寅,土,木,木
2020-03,300750.SZ,-0.112626,己,卯,土,木,木
2020-04,300750.SZ,0.199269,庚,辰,金,土,土
2020-05,300750.SZ,0.007965,辛,巳,金,火,火
2020-06,300750.SZ,0.198103,壬,午,水,火,火
2020-07,300750.SZ,0.21685,癸,未,水,土,土
2020-08,300750.SZ,-0.027431,甲,申,木,金,金
2020-09,300750.SZ,0.013811,乙,酉,木,金,金
2020-10,300750.SZ,0.181501,丙,戌,火,土,土
2020-11,300750.SZ,-0.01768,丁,亥,火,水,水
2020-12,300750.SZ,0.446087,戊,子,土,水,水
2021-01,300750.SZ,0.008544,己,丑,土,土,土
2021-02,300750.SZ,-0.090029,庚,寅,金,木,木
2021-03,300750.SZ,-0.000186,辛,卯,金,木,木
2021-04,300750.SZ,0.204861,壬,辰,水,土,土
2021-05,300750.SZ,0.118324,癸,巳,水,火,火
2021-06,300750.SZ,0.231974,甲,午,木,火,火
2021-07,300750.SZ,0.02917,乙,未,木,土,土
2021-08,300750.SZ,-0.10089,丙,申,火,金,金
2021-09,300750.SZ,0.06236,丁,酉,火,金,金
2021-10,300750.SZ,0.215871,戊,戌,土,土,土
2021-11,300750.SZ,0.063797,己,亥,土,水,水
2021-12,300750.SZ,-0.135294,庚,子,金,水,水
2022-01,300750.SZ,0.007823,辛,丑,金,土,土
2022-02,300750.SZ,-0.099966,壬,寅,水,木,木
2022-03,300750.SZ,-0.039486,癸,卯,水,木,木
2022-04,300750.SZ,-0.200956,甲,辰,木,土,土
2022-05,300750.SZ,-0.003298,乙,巳,木,火,火
2022-06,300750.SZ,0.308824,丙,午,火,火,火
2022-07,300750.SZ,-0.047566,丁,未,火,土,土
2022-08,300750.SZ,-0.050334,戊,申,土,金,金
2022-09,300750.SZ,-0.17,己,酉,土,金,金
2022-10,300750.SZ,-0.06987,庚,戌,金,土,土
