month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2010-01,801980.SI,,丁,丑,火,土,土
2010-02,801980.SI,0.043533,戊,寅,土,木,木
2010-03,801980.SI,0.08231,己,卯,土,木,木
2010-04,801980.SI,0.00688,庚,辰,金,土,土
2010-05,801980.SI,-0.009363,辛,巳,金,火,火
2010-06,801980.SI,-0.110741,壬,午,水,火,火
2010-07,801980.SI,0.128725,癸,未,水,土,土
2010-08,801980.SI,0.096451,甲,申,木,金,金
2010-09,801980.SI,0.038769,乙,酉,木,金,金
2010-10,801980.SI,-0.022573,丙,戌,火,土,土
2010-11,801980.SI,0.024171,丁,亥,火,水,水
2010-12,801980.SI,-0.01491,戊,子,土,水,水
2011-01,801980.SI,-0.019498,己,丑,土,土,土
2011-02,801980.SI,0.045398,庚,寅,金,木,木
2011-03,801980.SI,-0.009762,辛,卯,金,木,木
2011-04,801980.SI,-0.041738,壬,辰,水,土,土
2011-05,801980.SI,-0.019128,癸,巳,水,火,火
2011-06,801980.SI,0.011193,甲,午,木,火,火
2011-07,801980.SI,0.021876,乙,未,木,土,土
2011-08,801980.SI,-0.004624,丙,申,火,金,金
2011-09,801980.SI,-0.159984,丁,酉,火,金,金
2011-10,801980.SI,0.074981,戊,戌,土,土,土
2011-11,801980.SI,0.025692,己,亥,土,水,水
2011-12,801980.SI,-0.162213,庚,子,金,水,水
2012-01,801980.SI,-0.053296,辛,丑,金,土,土
2012-02,801980.SI,0.095203,壬,寅,水,木,木
2012-03,801980.SI,-0.06633,癸,卯,水,木,木
2012-04,801980.SI,0.048993,甲,辰,木,土,土
2012-05,801980.SI,0.064435,乙,巳,木,火,火
2012-06,801980.SI,-0.010262,丙,午,火,火,火
2012-07,801980.SI,0.007985,丁,未,火,土,土
2012-08,801980.SI,0.089458,戊,申,土,金,金
2012-09,801980.SI,0.010574,己,酉,土,金,金
2012-10,801980.SI,0.050809,庚,戌,金,土,土
2012-11,801980.SI,-0.083169,辛,亥,金,水,水
2012-12,801980.SI,0.094909,壬,子,水,水,水
2013-01,801980.SI,0.13028,癸,丑,水,土,土
2013-02,801980.SI,0.062802,甲,寅,木,木,木
2013-03,801980.SI,0.072932,乙,卯,木,木,木
2013-04,801980.SI,-0.006524,丙,辰,火,土,土
2013-05,801980.SI,-0.043287,丁,巳,火,火,火
2013-06,801980.SI,-0.0299,戊,午,土,火,火
2013-07,801980.SI,0.093144,己,未,土,土,土
2013-08,801980.SI,0.118813,庚,申,金,金,金
2013-09,801980.SI,-0.155853,辛,酉,金,金,金
2013-10,801980.SI,-0.052579,壬,戌,水,土,土
2013-11,801980.SI,0.040931,癸,亥,水,水,水
2013-12,801980.SI,0.002794,甲,子,木,水,水
2014-01,801980.SI,-0.115924,乙,丑,木,土,土
2014-02,801980.SI,-0.013788,丙,寅,火,木,木
2014-03,801980.SI,0.016094,丁,卯,火,木,木
2014-04,801980.SI,0.018549,戊,辰,土,土,土
2014-05,801980.SI,-0.05735,己,巳,土,火,火
2014-06,801980.SI,0.093996,庚,午,金,火,火
2014-07,801980.SI,0.004312,辛,未,金,土,土
2014-08,801980.SI,0.013713,壬,申,水,金,金
2014-09,801980.SI,0.074249,癸,酉,水,金,金
2014-10,801980.SI,-0.0052,甲,戌,木,土,土
2014-11,801980.SI,-0.008963,乙,亥,木,水,水
2014-12,801980.SI,-0.043508,丙,子,火,水,水
2015-01,801980.SI,0.082471,丁,丑,火,土,土
2015-02,801980.SI,0.029864,戊,寅,土,木,木
2015-03,801980.SI,0.176461,己,卯,土,木,木
2015-04,801980.SI,0.105111,庚,辰,金,土,土
2015-05,801980.SI,0.107064,辛,巳,金,火,火
2015-06,801980.SI,-0.079191,壬,午,水,火,火
2015-07,801980.SI,-0.207139,癸,未,水,土,土
2015-08,801980.SI,-0.084899,甲,申,木,金,金
2015-09,801980.SI,-0.017928,乙,酉,木,金,金
2015-10,801980.SI,0.1331,丙,戌,火,土,土
2015-11,801980.SI,0.052511,丁,亥,火,水,水
2015-12,801980.SI,0.133099,戊,子,土,水,水
2016-01,801980.SI,-0.240771,己,丑,土,土,土
2016-02,801980.SI,-0.012304,庚,寅,金,木,木
2016-03,801980.SI,0.089667,辛,卯,金,木,木
2016-04,801980.SI,-0.005898,壬,辰,水,土,土
2016-05,801980.SI,-0.006987,癸,巳,水,火,火
2016-06,801980.SI,0.032737,甲,午,木,火,火
2016-07,801980.SI,0.01392,乙,未,木,土,土
2016-08,801980.SI,0.005783,丙,申,火,金,金
2016-09,801980.SI,0.0329,丁,酉,火,金,金
2016-10,801980.SI,0.001159,戊,戌,土,土,土
2016-11,801980.SI,0.041156,己,亥,土,水,水
2016-12,801980.SI,-0.020184,庚,子,金,水,水
2017-01,801980.SI,-0.020975,辛,丑,金,土,土
2017-02,801980.SI,0.042302,壬,寅,水,木,木
2017-03,801980.SI,0.049856,癸,卯,水,木,木
2017-04,801980.SI,-0.01448,甲,辰,木,土,土
2017-05,801980.SI,-0.095122,乙,巳,木,火,火
2017-06,801980.SI,0.040505,丙,午,火,火,火
2017-07,801980.SI,-0.059984,丁,未,火,土,土
2017-08,801980.SI,0.06848,戊,申,土,金,金
2017-09,801980.SI,-0.009649,己,酉,土,金,金
2017-10,801980.SI,0.053313,庚,戌,金,土,土
2017-11,801980.SI,-0.080936,辛,亥,金,水,水
2017-12,801980.SI,-0.000956,壬,子,水,水,水
2018-01,801980.SI,-0.051487,癸,丑,水,土,土
2018-02,801980.SI,-0.024937,甲,寅,木,木,木
2018-03,801980.SI,0.120148,乙,卯,木,木,木
2018-04,801980.SI,-0.014105,丙,辰,火,土,土
2018-05,801980.SI,0.080703,丁,巳,火,火,火
2018-06,801980.SI,-0.124437,戊,午,土,火,火
2018-07,801980.SI,0.007009,己,未,土,土,土
2018-08,801980.SI,-0.119275,庚,申,金,金,金
2018-09,801980.SI,-0.035739,辛,酉,金,金,金
2018-10,801980.SI,-0.111987,壬,戌,水,土,土
2018-11,801980.SI,0.046057,癸,亥,水,水,水
2018-12,801980.SI,0.005621,甲,子,木,水,水
2019-01,801980.SI,-0.033444,乙,丑,木,土,土
2019-02,801980.SI,0.184171,丙,寅,火,木,木
2019-03,801980.SI,0.116535,丁,卯,火,木,木
2019-04,801980.SI,-0.061559,戊,辰,土,土,土
2019-05,801980.SI,-0.047515,己,巳,土,火,火
2019-06,801980.SI,0.037179,庚,午,金,火,火
2019-07,801980.SI,0.006378,辛,未,金,土,土
2019-08,801980.SI,0.029847,壬,申,水,金,金
2019-09,801980.SI,0.005783,癸,酉,水,金,金
2019-10,801980.SI,0.02441,甲,戌,木,土,土
2019-11,801980.SI,-0.059384,乙,亥,木,水,水
2019-12,801980.SI,0.061421,丙,子,火,水,水
2020-01,801980.SI,0.010264,丁,丑,火,土,土
2020-02,801980.SI,0.019711,戊,寅,土,木,木
