周标签,收益率,天数,天干,地支,五行_干
2010-06_W22,0.018385245122973643,3,癸,未,水
2010-06_W23,0.017902364906232225,5,戊,子,土
2010-06_W24,-0.05587234550625242,2,戊,戌,土
2010-06_W25,0.0034620968864622625,5,壬,寅,水
2010-06_W26,-0.032287122666423605,3,己,酉,土
2010-07_W26,-0.025331758492921796,2,壬,子,水
2010-07_W27,0.013342204578773487,5,丙,辰,火
2010-07_W28,-0.008621975777868274,5,癸,亥,水
2010-07_W29,0.01490242361976386,5,庚,午,金
2010-07_W30,0.0016657023358230606,5,丁,丑,火
2010-08_W31,0.008853809853014826,5,甲,申,木
2010-08_W32,-0.0005934085701792657,5,辛,卯,金
2010-08_W33,-0.0021070016366096624,5,戊,戌,土
2010-08_W34,0.0008304072524426776,5,乙,巳,木
2010-08_W35,0.013056124886679288,2,壬,子,水
2010-09_W35,0.003882021794916257,3,甲,寅,木
2010-09_W36,-0.00024372821819858005,5,己,未,土
2010-09_W37,-0.012289275294909686,5,丙,寅,火
2010-09_W38,-0.019607288093591635,2,癸,酉,水
2010-09_W39,0.0022685131976089012,4,庚,辰,金
2010-10_W40,0.018380141299193076,1,辛,卯,金
2010-10_W41,-0.0032214550477923432,5,甲,午,木
2010-10_W42,0.014674713559194141,5,辛,丑,金
2010-10_W43,0.009967091840107623,5,戊,申,土
2010-11_W44,0.0018376705919890934,5,乙,卯,木
2010-11_W45,0.0022338686511713,5,壬,戌,水
2010-11_W46,0.01345806817751929,5,己,巳,土
2010-11_W47,0.007421325330382755,5,丙,子,火
2010-11_W48,-0.005749376392264416,2,癸,未,水
2010-12_W48,-0.006665081712498688,3,乙,酉,木
2010-12_W49,0.0016798478526631965,5,庚,寅,金
2010-12_W50,0.011188209478487487,5,丁,酉,火
2010-12_W51,-0.014732540429533736,5,甲,辰,木
2010-12_W52,-0.0009892315914811877,5,辛,亥,金
2011-01_W1,-0.0023853515154569627,4,己,未,土
2011-01_W2,-0.010599604639317617,5,乙,丑,木
2011-01_W3,-0.007943615389809477,5,壬,申,水
2011-01_W4,-0.0005219814865647044,5,己,卯,土
2011-01_W5,0.008014198707463116,1,丙,戌,火
2011-02_W5,0.0033854166666669183,1,丁,亥,火
2011-02_W6,0.012600847544956273,3,乙,未,木
2011-02_W7,0.005393159492015309,5,庚,子,金
2011-02_W8,-0.0008113577874287126,5,丁,未,火
2011-02_W9,0.004271763805613782,1,甲,寅,木
2011-03_W10,0.00551926369739193,5,辛,酉,金
2011-03_W11,-0.0032546185368609315,5,戊,辰,土
2011-03_W12,-0.002062115852922863,5,乙,亥,木
2011-03_W13,-0.015204868327544224,4,壬,午,水
2011-03_W9,-0.006347808135482524,4,乙,卯,木
2011-04_W13,0.006724215904853281,1,丙,戌,火
2011-04_W14,0.0014563452718050855,3,辛,卯,金
2011-04_W15,-0.0017163995804350574,5,丙,申,火
2011-04_W16,-0.0010386229813374782,5,癸,卯,水
2011-04_W17,-0.018868443349078712,5,庚,戌,金
2011-05_W18,0.0016011055818822562,4,戊,午,土
2011-05_W19,-0.0017897621551930865,5,甲,子,木
2011-05_W20,-0.007661111342797722,5,辛,未,金
2011-05_W21,-0.011942906010349863,5,戊,寅,土
2011-05_W22,0.014100260591794922,2,乙,酉,木
2011-06_W22,0.0006056230405575939,3,丁,亥,火
2011-06_W23,-0.006978984101486452,4,癸,巳,水
2011-06_W24,-0.005175663213021519,5,己,亥,土
2011-06_W25,0.00741724836667601,5,丙,午,火
2011-06_W26,0.004101103884323026,4,癸,丑,水
2011-07_W26,0.011054249874987931,1,丁,巳,火
2011-07_W27,0.009148270489078647,5,庚,申,金
2011-07_W28,0.012355083719679149,5,丁,卯,火
2011-07_W29,-0.005709431593988535,5,甲,戌,木
2011-07_W30,-0.0020937844620050328,5,辛,巳,金
2011-08_W31,0.0013818911410816482,5,戊,子,土
2011-08_W32,0.0018595075295305464,5,乙,未,木
2011-08_W33,-0.0029277309627812943,5,壬,寅,水
2011-08_W34,0.008754548951417696,5,己,酉,土
2011-08_W35,-0.011033554094900736,3,丙,辰,火
2011-09_W35,-0.006334391499923431,2,己,未,土
2011-09_W36,-0.006119975240861541,5,癸,亥,水
2011-09_W37,-0.0018044962330270309,4,辛,未,金
2011-09_W38,-0.007061649049315033,5,丁,丑,火
2011-09_W39,-0.012658213433872523,5,甲,申,木
2011-10_W41,0.009827020347217386,5,戊,戌,土
2011-10_W42,-0.01656158282421616,5,乙,巳,木
2011-10_W43,0.017802699818552224,5,壬,子,水
2011-10_W44,0.02324749856915398,1,己,未,土
2011-11_W44,0.008623174590916882,4,庚,申,金
2011-11_W45,0.002166341835442598,5,丙,寅,火
2011-11_W46,-0.004719673453301931,5,癸,酉,水
2011-11_W47,-0.0012999991588364067,5,庚,辰,金
2011-11_W48,-0.009508893896296056,3,丁,亥,火
2011-12_W48,-0.005083951239486406,2,庚,寅,金
2011-12_W49,-0.007220823190732051,5,甲,午,木
2011-12_W50,-0.004773154558952908,5,辛,丑,金
2011-12_W51,-0.004371996065462347,5,戊,申,土
2011-12_W52,-0.00838659336263219,5,乙,卯,木
2012-01_W1,-0.02812967014506577,3,甲,子,木
2012-01_W2,-0.00023278714492089848,5,己,巳,土
2012-01_W3,-0.005162601686218027,5,丙,子,火
2012-01_W5,0.0017923997308878503,2,庚,寅,金
2012-02_W5,0.01590352785203371,3,壬,辰,水
2012-02_W6,0.005582440669226618,5,丁,酉,火
2012-02_W7,0.0054376487685245944,5,甲,辰,木
2012-02_W8,0.012176497484541571,5,辛,亥,金
2012-02_W9,-0.011905886228917084,3,戊,午,土
2012-03_W10,0.005301681252300972,5,乙,丑,木
2012-03_W11,-0.002832546936516378,5,壬,申,水
2012-03_W12,-0.00720014959094315,5,己,卯,土
2012-03_W13,-0.016460983849726607,5,丙,戌,火
2012-03_W9,0.015081782135314525,2,辛,酉,金
2012-04_W14,0.017145882583302963,2,丙,申,火
2012-04_W15,0.004894798504169229,5,庚,子,金
2012-04_W16,0.002751040600369681,5,丁,未,火
2012-04_W17,-0.012019050939103559,5,甲,寅,木
2012-05_W18,0.013478695553798806,3,癸,亥,水
2012-05_W19,0.0023257882000807363,5,戊,辰,土
2012-05_W20,-0.004117736870722366,5,乙,亥,木
2012-05_W21,-0.0009517318904621374,5,壬,午,水
2012-05_W22,0.011115917676087883,4,己,丑,土
2012-06_W22,-0.0002682264648297128,1,癸,巳,水
2012-06_W23,-0.0055574642212970595,5,丙,申,火
2012-06_W24,0.007898138957691491,5,癸,卯,水
2012-06_W25,-0.0010349512877843858,4,庚,戌,金
2012-06_W26,-0.0032457403211542555,5,丁,巳,火
2012-07_W27,0.0030167785169826987,5,甲,子,木
2012-07_W28,-0.0030244236594694886,5,辛,未,金
2012-07_W29,-0.0052020724998934394,5,戊,寅,土
2012-07_W30,-0.0007528150088681462,5,乙,酉,木
2012-07_W31,-0.0190977645845834,2,壬,辰,水
2012-08_W31,0.016994050224716045,3,甲,午,木
2012-08_W32,0.008675062912600806,5,己,亥,土
2012-08_W33,-0.005942901463368733,5,丙,午,火
2012-08_W34,0.0035074047318201405,5,癸,丑,水
2012-08_W35,-0.007284061079250348,5,庚,申,金
2012-09_W36,0.01457751148302706,5,丁,卯,火
2012-09_W37,-0.003954102192485287,5,甲,戌,木
2012-09_W38,-0.014646398368211,5,辛,巳,金
2012-09_W39,-0.0002365040912011951,5,戊,子,土
2012-10_W41,0.005636534916765345,5,壬,寅,水
2012-10_W42,0.003003584015165428,5,己,酉,土
2012-10_W43,-0.009624337444041698,5,丙,辰,火
2012-10_W44,0.0030648334227137606,3,癸,亥,水
2012-11_W44,0.007035856275130037,2,丙,寅,火
2012-11_W45,-0.008299483026853571,5,庚,午,金
2012-11_W46,-0.004925483759145655,5,丁,丑,火
2012-11_W47,-0.001439426779204056,5,甲,申,木
2012-11_W48,-0.014010865117123971,5,辛,卯,金
2012-12_W1,0.00875410503230345,1,丙,寅,火
2012-12_W49,0.010139510629449289,5,戊,戌,土
2012-12_W50,0.005971832035466473,5,乙,巳,木
