pair,mean_diff_bps,std_diff_bps,t_stat,n_windows
木-金,79.74382624761526,181.8806142479445,6.932352887686394,250
木-水,207.2208072278069,87.51466196631759,37.438853941454866,250
木-火,-69.52955495822569,110.01374994288756,-9.992921724783978,250
水-金,-127.47698098019164,125.63674905069304,-16.042981539450526,250
水-火,-276.7503621860326,105.79048030181823,-41.36296031966107,250
火-金,149.27338120584096,118.94102617254514,19.84361047802991,250
土-金,-0.9496891646785599,102.96613290036257,-0.1458334281852205,250
土-木,-80.69351541229382,113.1916175768017,-11.271828540466366,250
土-水,126.5272918155131,95.38170070233703,20.974381111029977,250
土-火,-150.2230703705195,47.788770994969255,-49.702791009691865,250
