交易日期,收盘价,年干支,月干支,日干支,收益率,天干,地支,五行_干,五行_支,月,周,年月
2010-01-05,13517.375,己丑,丁丑,乙卯,-0.001194218481096243,乙,卯,木,木,1,1,2010-01
2010-01-06,13505.184,己丑,丁丑,丙辰,-0.0009018762888505227,丙,辰,火,土,1,1,2010-01
2010-01-07,13235.48,己丑,丁丑,丁巳,-0.019970405438385685,丁,巳,火,火,1,1,2010-01
2010-01-08,13267.436,己丑,丁丑,戊午,0.0024144194241537686,戊,午,土,火,1,1,2010-01
2010-01-11,13161.09,己丑,丁丑,辛酉,-0.0080155653285231,辛,酉,金,金,1,2,2010-01
2010-01-12,13381.25,己丑,丁丑,壬戌,0.016728097748742732,壬,戌,水,土,1,2,2010-01
2010-01-13,13016.557,己丑,丁丑,癸亥,-0.027254030826716402,癸,亥,水,水,1,2,2010-01
2010-01-14,13204.189,己丑,丁丑,甲子,0.014414871766781356,甲,子,木,水,1,2,2010-01
2010-01-15,13264.372,己丑,丁丑,乙丑,0.00455787174812472,乙,丑,木,土,1,2,2010-01
2010-01-18,13361.518,己丑,丁丑,戊辰,0.007323829578965491,戊,辰,土,土,1,3,2010-01
2010-01-19,13350.671,己丑,丁丑,己巳,-0.0008118089576348853,己,巳,土,火,1,3,2010-01
2010-01-20,12916.154,己丑,丁丑,庚午,-0.03254645403216061,庚,午,金,火,1,3,2010-01
2010-01-21,12917.154,己丑,丁丑,辛未,7.742242775976571e-05,辛,未,金,土,1,3,2010-01
2010-01-22,12595.935,己丑,丁丑,壬申,-0.024867629510339606,壬,申,水,金,1,3,2010-01
2010-01-25,12470.188,己丑,丁丑,乙亥,-0.009983141386486927,乙,亥,木,水,1,4,2010-01
2010-01-26,12162.556,己丑,丁丑,丙子,-0.024669395521543014,丙,子,火,水,1,4,2010-01
2010-01-27,12046.779,己丑,丁丑,丁丑,-0.009519133971510607,丁,丑,火,土,1,4,2010-01
2010-01-28,12120.476,己丑,丁丑,戊寅,0.006117568853881927,戊,寅,土,木,1,4,2010-01
2010-01-29,12137.204,己丑,丁丑,己卯,0.0013801438161338275,己,卯,土,木,1,4,2010-01
2010-02-01,11989.107,己丑,丁丑,壬午,-0.01220190416178224,壬,午,水,火,2,5,2010-02
2010-02-02,11912.927,己丑,丁丑,癸未,-0.006354101268760126,癸,未,水,土,2,5,2010-02
2010-02-03,12262.567,己丑,丁丑,甲申,0.02934963002795188,甲,申,木,金,2,5,2010-02
2010-02-04,12169.479,庚寅,戊寅,乙酉,-0.007591232732917952,乙,酉,木,金,2,5,2010-02
2010-02-05,11917.136,庚寅,戊寅,丙戌,-0.020735727470337806,丙,戌,火,土,2,5,2010-02
2010-02-08,11947.336,庚寅,戊寅,己丑,0.002534165927115195,己,丑,土,土,2,6,2010-02
2010-02-09,11970.438,庚寅,戊寅,庚寅,0.0019336528243618645,庚,寅,金,木,2,6,2010-02
2010-02-10,12185.378,庚寅,戊寅,辛卯,0.01795590102885125,辛,卯,金,木,2,6,2010-02
2010-02-11,12224.6,庚寅,戊寅,壬辰,0.0032187758147510515,壬,辰,水,土,2,6,2010-02
