交易日期,收盘价,年干支,月干支,日干支,收益率,天干,地支,五行_干,五行_支,月,周,年月
2020-01-03,1024.482,己亥,丙子,乙巳,0.004666953672713081,乙,巳,木,火,1,1,2020-01
2020-01-06,1027.277,己亥,丁丑,戊申,0.002728208011463451,戊,申,土,金,1,2,2020-01
2020-01-07,1043.083,己亥,丁丑,己酉,0.01538630768526894,己,酉,土,金,1,2,2020-01
2020-01-08,1051.16,己亥,丁丑,庚戌,0.0077433914654923,庚,戌,金,土,1,2,2020-01
2020-01-09,1078.312,己亥,丁丑,辛亥,0.025830511054453886,辛,亥,金,水,1,2,2020-01
2020-01-10,1076.438,己亥,丁丑,壬子,-0.0017379014608015497,壬,子,水,水,1,2,2020-01
2020-01-13,1105.848,己亥,丁丑,乙卯,0.027321592140002293,乙,卯,木,木,1,3,2020-01
2020-01-14,1118.306,己亥,丁丑,丙辰,0.011265562717480249,丙,辰,火,土,1,3,2020-01
2020-01-15,1114.766,己亥,丁丑,丁巳,-0.003165502107652096,丁,巳,火,火,1,3,2020-01
2020-01-16,1154.303,己亥,丁丑,戊午,0.03546663604738587,戊,午,土,火,1,3,2020-01
2020-01-17,1238.664,己亥,丁丑,己未,0.0730839303025288,己,未,土,土,1,3,2020-01
2020-01-20,1240.509,己亥,丁丑,壬戌,0.0014895080506094338,壬,戌,水,土,1,4,2020-01
2020-01-21,1195.014,己亥,丁丑,癸亥,-0.036674461853964835,癸,亥,水,水,1,4,2020-01
2020-01-22,1244.525,己亥,丁丑,甲子,0.041431313775403655,甲,子,木,水,1,4,2020-01
2020-01-23,1202.102,己亥,丁丑,乙丑,-0.03408770414415141,乙,丑,木,土,1,4,2020-01
2020-02-03,1030.55,己亥,丁丑,丙子,-0.14271001961564,丙,子,火,水,2,6,2020-02
2020-02-04,1153.232,庚子,戊寅,丁丑,0.11904517005482518,丁,丑,火,土,2,6,2020-02
2020-02-05,1203.613,庚子,戊寅,戊寅,0.04368678635348311,戊,寅,土,木,2,6,2020-02
2020-02-06,1238.757,庚子,戊寅,己卯,0.02919875408457706,己,卯,土,木,2,6,2020-02
2020-02-07,1307.757,庚子,戊寅,庚辰,0.055700997047847256,庚,辰,金,土,2,6,2020-02
2020-02-10,1322.25,庚子,戊寅,癸未,0.011082334103353908,癸,未,水,土,2,7,2020-02
2020-02-11,1283.572,庚子,戊寅,甲申,-0.02925165437700894,甲,申,木,金,2,7,2020-02
2020-02-12,1348.702,庚子,戊寅,乙酉,0.050741212803021574,乙,酉,木,金,2,7,2020-02
2020-02-13,1360.709,庚子,戊寅,丙戌,0.008902633791601167,丙,戌,火,土,2,7,2020-02
2020-02-14,1327.224,庚子,戊寅,丁亥,-0.024608494542183612,丁,亥,火,水,2,7,2020-02
2020-02-17,1381.553,庚子,戊寅,庚寅,0.040934311013062,庚,寅,金,木,2,8,2020-02
2020-02-18,1399.384,庚子,戊寅,辛卯,0.012906490015222039,辛,卯,金,木,2,8,2020-02
2020-02-19,1373.444,庚子,戊寅,壬辰,-0.0185367275887105,壬,辰,水,土,2,8,2020-02
2020-02-20,1348.338,庚子,戊寅,癸巳,-0.018279594945261657,癸,巳,水,火,2,8,2020-02
2020-02-21,1346.863,庚子,戊寅,甲午,-0.0010939393534854513,甲,午,木,火,2,8,2020-02
