周标签,收益率,天数,天干,地支,五行_干
2020-01_W1,0.004666953672713081,1,乙,巳,木
2020-01_W2,0.009990103351175405,5,戊,申,土
2020-01_W3,0.02879444381994902,5,乙,卯,木
2020-01_W4,-0.006960336043025789,4,壬,戌,水
2020-02_W6,0.02098433758501852,5,丙,子,火
2020-02_W7,0.003373206355756819,5,癸,未,水
2020-02_W8,0.0031861078281652856,5,庚,寅,金
2020-02_W9,-0.02383657368826695,5,丁,酉,火
2020-03_W10,0.009008851428121111,5,甲,辰,木
2020-03_W11,-0.010683312752237462,5,辛,亥,金
2020-03_W12,-0.007993772939427112,5,戊,午,土
2020-03_W13,-0.006922439568237171,5,乙,丑,木
2020-03_W14,-0.025376384415944253,2,壬,申,水
2020-04_W14,0.016567935361155046,3,甲,戌,木
2020-04_W15,-0.004861335092941482,4,庚,辰,金
2020-04_W16,0.010966413551513865,5,丙,戌,火
2020-04_W17,0.004866798215282931,5,癸,巳,水
2020-04_W18,0.0052789073159000555,4,庚,子,金
2020-05_W19,0.02133707859109361,3,己,酉,土
2020-05_W20,0.004898590861266383,5,甲,寅,木
2020-05_W21,-0.005822139459437725,5,辛,酉,金
2020-05_W22,0.0028248740210194967,5,戊,辰,土
2020-06_W23,0.008250429110153923,5,乙,亥,木
2020-06_W24,-0.005441267308148534,5,壬,午,水
2020-06_W25,0.009863354687303861,5,己,丑,土
2020-06_W26,0.024380973579518555,3,丙,申,火
2020-06_W27,0.008550194646559761,2,癸,卯,水
2020-07_W27,-0.002142240405499596,3,乙,巳,木
2020-07_W28,0.02872139372045235,5,庚,戌,金
2020-07_W29,-0.026017638590519598,5,丁,巳,火
2020-07_W30,-0.007063323212870176,5,甲,子,木
2020-07_W31,0.017462917888503293,5,辛,未,金
2020-08_W32,0.002568058586916733,5,戊,寅,土
2020-08_W33,-0.0055294218388885815,5,乙,酉,木
2020-08_W34,-0.004823427166808192,5,壬,辰,水
2020-08_W35,-0.004578393567999983,5,己,亥,土
2020-08_W36,0.0067902863323470175,1,丙,午,火
2020-09_W36,-0.005818728012396607,4,丁,未,火
2020-09_W37,-0.011241267511541619,5,癸,丑,水
2020-09_W38,0.013644629901159933,5,庚,申,金
2020-09_W39,-0.005607715030790894,5,丁,卯,火
2020-09_W40,0.013486598667202884,3,甲,戌,木
2020-10_W41,0.0332415653836069,1,乙,酉,木
2020-10_W42,-0.003677319307065563,5,戊,子,土
2020-10_W43,-0.014514946765472669,5,乙,未,木
2020-10_W44,0.008515766780376289,5,壬,寅,水
2020-11_W45,0.006899360252413245,5,己,酉,土
2020-11_W46,-0.0003115023677734641,5,丙,辰,火
