ts_code,trade_date,close_price,pre_close,pct_chg,volume,amount,year_ganzhi,month_ganzhi,day_ganzhi,weekday,year,month,is_trading_day,log_return,direction,day_tian_gan,day_di_zhi,day_tg_wuxing,day_dz_wuxing,month_tian_gan,month_di_zhi,month_tg_wuxing,month_dz_wuxing,is_month_start,is_month_end,prev_log_return,week_number,year_month
601288.SH,2010-07-15,2.7,2.68,0.0075,40397251,10949613.782,庚寅,癸未,丙寅,4,2010,7,1,0.007434978487517991,1,丙,寅,火,木,癸,未,水,土,False,False,,2010-W28,2010-07
601288.SH,2010-07-16,2.69,2.7,-0.0037,13789551,3707551.294,庚寅,癸未,丁卯,5,2010,7,1,-0.003710579396535713,0,丁,卯,火,木,癸,未,水,土,False,False,0.007434978487517991,2010-W28,2010-07
601288.SH,2010-07-19,2.71,2.69,0.0074,11467383,3088010.379,庚寅,癸未,庚午,1,2010,7,1,0.007407441277861818,1,庚,午,金,火,癸,未,水,土,False,False,-0.003710579396535713,2010-W29,2010-07
601288.SH,2010-07-20,2.71,2.71,0.0,8442260,2278829.237,庚寅,癸未,辛未,2,2010,7,1,0.0,0,辛,未,金,土,癸,未,水,土,False,False,0.007407441277861818,2010-W29,2010-07
601288.SH,2010-07-21,2.71,2.71,0.0,6220943,1678918.049,庚寅,癸未,壬申,3,2010,7,1,0.0,0,壬,申,水,金,癸,未,水,土,False,False,0.0,2010-W29,2010-07
601288.SH,2010-07-22,2.73,2.71,0.0074,10651225,2895029.118,庚寅,癸未,癸酉,4,2010,7,1,0.007352974305258733,1,癸,酉,水,金,癸,未,水,土,False,False,0.0,2010-W29,2010-07
601288.SH,2010-07-23,2.81,2.73,0.0293,17927829,5001163.717,庚寅,癸未,甲戌,5,2010,7,1,0.028882874148786146,1,甲,戌,木,土,癸,未,水,土,False,False,0.007352974305258733,2010-W29,2010-07
601288.SH,2010-07-26,2.8,2.81,-0.0036,7046938,1974873.434,庚寅,癸未,丁丑,1,2010,7,1,-0.003565066164496257,0,丁,丑,火,土,癸,未,水,土,False,False,0.028882874148786146,2010-W30,2010-07
601288.SH,2010-07-27,2.78,2.8,-0.0071,3844839,1070439.99,庚寅,癸未,戊寅,2,2010,7,1,-0.007168489478612516,0,戊,寅,土,木,癸,未,水,土,False,True,-0.003565066164496257,2010-W30,2010-07
601288.SH,2010-07-28,2.84,2.78,0.0216,7969171,2248740.081,庚寅,癸未,己卯,3,2010,7,1,0.02135312447056906,1,己,卯,土,木,癸,未,水,土,False,True,-0.007168489478612516,2010-W30,2010-07
