交易日期,收盘价,年干支,月干支,日干支,收益率,天干,地支,五行_干,五行_支,月,周,年月
2010-06-02,997.119,庚寅,辛巳,癸未,0.02454294089904474,癸,未,水,土,6,22,2010-06
2010-06-03,998.394,庚寅,辛巳,甲申,0.0012786838882821172,甲,申,木,金,6,22,2010-06
2010-06-04,1027.681,庚寅,辛巳,乙酉,0.029334110581594075,乙,酉,木,金,6,22,2010-06
2010-06-07,1069.468,庚寅,壬午,戊子,0.0406614503917071,戊,子,土,水,6,23,2010-06
2010-06-08,1067.154,庚寅,壬午,己丑,-0.002163692602303313,己,丑,土,土,6,23,2010-06
2010-06-09,1077.823,庚寅,壬午,庚寅,0.009997619837436966,庚,寅,金,木,6,23,2010-06
2010-06-10,1117.478,庚寅,壬午,辛卯,0.03679175523253808,辛,卯,金,木,6,23,2010-06
2010-06-11,1122.199,庚寅,壬午,壬辰,0.004224691671782299,壬,辰,水,土,6,23,2010-06
2010-06-17,1064.839,庚寅,壬午,戊戌,-0.05111392899120404,戊,戌,土,土,6,24,2010-06
2010-06-18,1000.277,庚寅,壬午,己亥,-0.0606307620213008,己,亥,土,水,6,24,2010-06
2010-06-21,1040.802,庚寅,壬午,壬寅,0.04051377768358155,壬,寅,水,木,6,25,2010-06
2010-06-22,1034.995,庚寅,壬午,癸卯,-0.005579351307933744,癸,卯,水,木,6,25,2010-06
2010-06-23,1047.337,庚寅,壬午,甲辰,0.011924695288383136,甲,辰,木,土,6,25,2010-06
2010-06-24,1050.601,庚寅,壬午,乙巳,0.003116475403809993,乙,巳,木,火,6,25,2010-06
2010-06-25,1016.283,庚寅,壬午,丙午,-0.032665112635529625,丙,午,火,火,6,25,2010-06
2010-06-28,987.827,庚寅,壬午,己酉,-0.028000074782319473,己,酉,土,金,6,26,2010-06
2010-06-29,913.309,庚寅,壬午,庚戌,-0.07543628590836249,庚,戌,金,土,6,26,2010-06
2010-06-30,919.314,庚寅,壬午,辛亥,0.006574992691411152,辛,亥,金,水,6,26,2010-06
2010-07-01,882.19,庚寅,壬午,壬子,-0.040382285051679734,壬,子,水,水,7,26,2010-07
2010-07-02,873.12,庚寅,壬午,癸丑,-0.01028123193416386,癸,丑,水,土,7,26,2010-07
2010-07-05,862.268,庚寅,壬午,丙辰,-0.012428990287703834,丙,辰,火,土,7,27,2010-07
2010-07-06,893.718,庚寅,壬午,丁巳,0.036473578980084964,丁,巳,火,火,7,27,2010-07
2010-07-07,908.549,庚寅,癸未,戊午,0.01659472003473139,戊,午,土,火,7,27,2010-07
2010-07-08,905.509,庚寅,癸未,己未,-0.003345994547349629,己,未,土,土,7,27,2010-07
2010-07-09,932.147,庚寅,癸未,庚申,0.02941770871410454,庚,申,金,金,7,27,2010-07
2010-07-12,930.173,庚寅,癸未,癸亥,-0.002117691737462013,癸,亥,水,水,7,28,2010-07
2010-07-13,931.08,庚寅,癸未,甲子,0.0009750874299727652,甲,子,木,水,7,28,2010-07
2010-07-14,922.362,庚寅,癸未,乙丑,-0.009363320015466026,乙,丑,木,土,7,28,2010-07
2010-07-15,892.557,庚寅,癸未,丙寅,-0.03231377702030214,丙,寅,火,木,7,28,2010-07
2010-07-16,892.298,庚寅,癸未,丁卯,-0.0002901775460839584,丁,卯,火,木,7,28,2010-07
2010-07-19,908.049,庚寅,癸未,庚午,0.017652174497757356,庚,午,金,火,7,29,2010-07
2010-07-20,937.017,庚寅,癸未,辛未,0.03190136215116146,辛,未,金,土,7,29,2010-07
2010-07-21,941.25,庚寅,癸未,壬申,0.004517527430131896,壬,申,水,金,7,29,2010-07
2010-07-22,950.209,庚寅,癸未,癸酉,0.0095181938911022,癸,酉,水,金,7,29,2010-07
2010-07-23,960.588,庚寅,癸未,甲戌,0.01092286012866639,甲,戌,木,土,7,29,2010-07
2010-07-26,966.154,庚寅,癸未,丁丑,0.005794367616501539,丁,丑,火,土,7,30,2010-07
2010-07-27,957.967,庚寅,癸未,戊寅,-0.00847380438315215,戊,寅,土,木,7,30,2010-07
2010-07-28,972.534,庚寅,癸未,己卯,0.015206160546240133,己,卯,土,木,7,30,2010-07
2010-07-29,975.362,庚寅,癸未,庚辰,0.002907867488437299,庚,辰,金,土,7,30,2010-07
2010-07-30,968.431,庚寅,癸未,辛巳,-0.007106079588911518,辛,巳,金,火,7,30,2010-07
2010-08-02,994.228,庚寅,癸未,甲申,0.02663793290384131,甲,申,木,金,8,31,2010-08
2010-08-03,975.645,庚寅,癸未,乙酉,-0.018690883781184997,乙,酉,木,金,8,31,2010-08
2010-08-04,978.014,庚寅,癸未,丙戌,0.0024281372835406323,丙,戌,火,土,8,31,2010-08
2010-08-05,987.351,庚寅,癸未,丁亥,0.009546898101663093,丁,亥,火,水,8,31,2010-08
2010-08-06,1011.39,庚寅,癸未,戊子,0.024346964757214096,戊,子,土,水,8,31,2010-08
2010-08-09,1032.339,庚寅,甲申,辛卯,0.020713078041111777,辛,卯,金,木,8,32,2010-08
2010-08-10,993.992,庚寅,甲申,壬辰,-0.0371457437915258,壬,辰,水,土,8,32,2010-08
2010-08-11,1004.637,庚寅,甲申,癸巳,0.01070934172508431,癸,巳,水,火,8,32,2010-08
2010-08-12,991.777,庚寅,甲申,甲午,-0.012800643416477686,甲,午,木,火,8,32,2010-08
