ts_code,trade_date,close_price,pre_close,pct_chg,volume,amount,year_ganzhi,month_ganzhi,day_ganzhi,weekday,year,month,is_trading_day,log_return,direction,day_tian_gan,day_di_zhi,day_tg_wuxing,day_dz_wuxing,month_tian_gan,month_di_zhi,month_tg_wuxing,month_dz_wuxing,is_month_start,is_month_end,prev_log_return,week_number,year_month
300750.SZ,2018-06-11,36.2,25.14,0.4399,788,2845.471,戊戌,戊午,甲戌,1,2018,6,1,0.3645989156696241,1,甲,戌,木,土,戊,午,土,火,False,False,,2018-W24,2018-06
300750.SZ,2018-06-12,39.82,36.2,0.1,265,1058.375,戊戌,戊午,乙亥,2,2018,6,1,0.09531017980432474,1,乙,亥,木,水,戊,午,土,火,False,False,0.3645989156696241,2018-W24,2018-06
300750.SZ,2018-06-13,43.8,39.82,0.1,450,1972.314,戊戌,戊午,丙子,3,2018,6,1,0.09526451874635021,1,丙,子,火,水,戊,午,土,火,False,False,0.09531017980432474,2018-W24,2018-06
300750.SZ,2018-06-14,48.18,43.8,0.1,742,3578.184,戊戌,戊午,丁丑,4,2018,6,1,0.09531017980432493,1,丁,丑,火,土,戊,午,土,火,False,False,0.09526451874635021,2018-W24,2018-06
300750.SZ,2018-06-15,53.0,48.18,0.1,2565,13595.03,戊戌,戊午,戊寅,5,2018,6,1,0.09534791636539655,1,戊,寅,土,木,戊,午,土,火,False,False,0.09531017980432493,2018-W24,2018-06
300750.SZ,2018-06-19,58.3,53.0,0.1,11174,65146.052,戊戌,戊午,壬午,2,2018,6,1,0.09531017980432474,1,壬,午,水,火,戊,午,土,火,False,False,0.09534791636539655,2018-W25,2018-06
300750.SZ,2018-06-20,64.13,58.3,0.1,13103,84034.797,戊戌,戊午,癸未,3,2018,6,1,0.09531017980432474,1,癸,未,水,土,戊,午,土,火,False,False,0.09531017980432474,2018-W25,2018-06
300750.SZ,2018-06-21,70.54,64.13,0.1,12316,86881.296,戊戌,戊午,甲申,4,2018,6,1,0.09526765164713463,1,甲,申,木,金,戊,午,土,火,False,False,0.09531017980432474,2018-W25,2018-06
300750.SZ,2018-06-22,66.55,70.54,-0.0566,1281705,8599728.955,戊戌,戊午,乙酉,5,2018,6,1,-0.058226379966785445,0,乙,酉,木,金,戊,午,土,火,False,False,0.09526765164713463,2018-W25,2018-06
300750.SZ,2018-06-25,69.19,66.55,0.0397,699819,4868406.844,戊戌,戊午,戊子,1,2018,6,1,0.038902798669598976,1,戊,子,土,水,戊,午,土,火,False,False,-0.058226379966785445,2018-W26,2018-06
300750.SZ,2018-06-26,74.18,69.19,0.0721,625535,4537098.812,戊戌,戊午,己丑,2,2018,6,1,0.0696382285507252,1,己,丑,土,土,戊,午,土,火,False,True,0.038902798669598976,2018-W26,2018-06
300750.SZ,2018-06-27,74.09,74.18,-0.0012,441388,3241043.472,戊戌,戊午,庚寅,3,2018,6,1,-0.0012140016328792548,0,庚,寅,金,木,戊,午,土,火,False,True,0.0696382285507252,2018-W26,2018-06
300750.SZ,2018-06-28,68.21,74.09,-0.0794,530809,3770134.24,戊戌,戊午,辛卯,4,2018,6,1,-0.08268938876193772,0,辛,卯,金,木,戊,午,土,火,False,True,-0.0012140016328792548,2018-W26,2018-06
300750.SZ,2018-06-29,71.96,68.21,0.055,456985,3231958.793,戊戌,戊午,壬辰,5,2018,6,1,0.0535192274157044,1,壬,辰,水,土,戊,午,土,火,False,True,-0.08268938876193772,2018-W26,2018-06
300750.SZ,2018-07-02,70.0,71.96,-0.0272,324701,2278646.004,戊戌,戊午,乙未,1,2018,7,1,-0.027615167032973266,0,乙,未,木,土,戊,午,土,火,True,False,0.0535192274157044,2018-W27,2018-07
300750.SZ,2018-07-03,69.29,70.0,-0.0101,339100,2337186.967,戊戌,戊午,丙申,2,2018,7,1,-0.010194646410068946,0,丙,申,火,金,戊,午,土,火,True,False,-0.027615167032973266,2018-W27,2018-07
300750.SZ,2018-07-04,65.92,69.29,-0.0486,262821,1749919.477,戊戌,戊午,丁酉,3,2018,7,1,-0.04985871003807376,0,丁,酉,火,金,戊,午,土,火,True,False,-0.010194646410068946,2018-W27,2018-07
300750.SZ,2018-07-05,68.81,65.92,0.0438,343377,2343510.066,戊戌,戊午,戊戌,4,2018,7,1,0.04290719761317215,1,戊,戌,土,土,戊,午,土,火,True,False,-0.04985871003807376,2018-W27,2018-07
300750.SZ,2018-07-06,70.88,68.81,0.0301,492134,3511358.606,戊戌,戊午,己亥,5,2018,7,1,0.029639223082436827,1,己,亥,土,水,戊,午,土,火,False,False,0.04290719761317215,2018-W27,2018-07
300750.SZ,2018-07-09,71.55,70.88,0.0095,310689,2183986.505,戊戌,己未,壬寅,1,2018,7,1,0.00940819970563442,1,壬,寅,水,木,己,未,土,土,False,False,0.029639223082436827,2018-W28,2018-07
300750.SZ,2018-07-10,72.4,71.55,0.0119,364844,2666043.239,戊戌,己未,癸卯,2,2018,7,1,0.011809793389210935,1,癸,卯,水,木,己,未,土,土,False,False,0.00940819970563442,2018-W28,2018-07
300750.SZ,2018-07-11,77.06,72.4,0.0644,491208,3695050.773,戊戌,己未,甲辰,3,2018,7,1,0.062378039806340706,1,甲,辰,木,土,己,未,土,土,False,False,0.011809793389210935,2018-W28,2018-07
300750.SZ,2018-07-12,84.77,77.06,0.1001,430852,3430182.907,戊戌,己未,乙巳,4,2018,7,1,0.09535736742230254,1,乙,巳,木,火,己,未,土,土,False,False,0.062378039806340706,2018-W28,2018-07
300750.SZ,2018-07-13,82.7,84.77,-0.0244,482020,4049051.405,戊戌,己未,丙午,5,2018,7,1,-0.02472210459066847,0,丙,午,火,火,己,未,土,土,False,False,0.09535736742230254,2018-W28,2018-07
300750.SZ,2018-07-16,83.9,82.7,0.0145,295151,2439742.028,戊戌,己未,己酉,1,2018,7,1,0.014406011443514916,1,己,酉,土,金,己,未,土,土,False,False,-0.02472210459066847,2018-W29,2018-07
300750.SZ,2018-07-17,82.28,83.9,-0.0193,286153,2336837.084,戊戌,己未,庚戌,2,2018,7,1,-0.01949754868840417,0,庚,戌,金,土,己,未,土,土,False,False,0.014406011443514916,2018-W29,2018-07
300750.SZ,2018-07-18,82.28,82.28,0.0,271138,2233771.784,戊戌,己未,辛亥,3,2018,7,1,0.0,0,辛,亥,金,水,己,未,土,土,False,False,-0.01949754868840417,2018-W29,2018-07
300750.SZ,2018-07-19,82.89,82.28,0.0074,250744,2089886.953,戊戌,己未,壬子,4,2018,7,1,0.0073863628186784,1,壬,子,水,水,己,未,土,土,False,False,0.0,2018-W29,2018-07
300750.SZ,2018-07-20,90.93,82.89,0.096996,426956,3750334.637,戊戌,己未,癸丑,5,2018,7,1,0.09257555213438666,1,癸,丑,水,土,己,未,土,土,False,False,0.0073863628186784,2018-W29,2018-07
300750.SZ,2018-07-23,88.62,90.93,-0.025404,250143,2223986.14,戊戌,己未,丙辰,1,2018,7,1,-0.025732413966478015,0,丙,辰,火,土,己,未,土,土,False,False,0.09257555213438666,2018-W30,2018-07
300750.SZ,2018-07-24,91.77,88.62,0.035545,265010,2395962.685,戊戌,己未,丁巳,2,2018,7,1,0.03492788105957822,1,丁,巳,火,火,己,未,土,土,False,False,-0.025732413966478015,2018-W30,2018-07
300750.SZ,2018-07-25,82.59,91.77,-0.100033,457193,4027958.763,戊戌,己未,戊午,3,2018,7,1,-0.10539683900829606,0,戊,午,土,火,己,未,土,土,False,False,0.03492788105957822,2018-W30,2018-07
300750.SZ,2018-07-26,78.2,82.59,-0.053154,392869,3115796.617,戊戌,己未,己未,4,2018,7,1,-0.05461896027136026,0,己,未,土,土,己,未,土,土,False,False,-0.10539683900829606,2018-W30,2018-07
300750.SZ,2018-07-27,76.05,78.2,-0.027494,228095,1748397.062,戊戌,己未,庚申,5,2018,7,1,-0.027878628845963593,0,庚,申,金,金,己,未,土,土,False,True,-0.05461896027136026,2018-W30,2018-07
300750.SZ,2018-07-30,76.85,76.05,0.010519,180418,1377263.289,戊戌,己未,癸亥,1,2018,7,1,0.010464451279302987,1,癸,亥,水,水,己,未,土,土,False,True,-0.027878628845963593,2018-W31,2018-07
