week_number,week_start,week_end,week_return,week_tg_wuxing,week_dz_wuxing,week_tg_mode,week_volatility,week_abs_return
2018-W24,2018-06-11,2018-06-15,0.3812327947203964,木,土,木,0.1204304734054745,0.1491663420780041
2018-W25,2018-06-19,2018-06-22,0.132351451484674,水,火,木,0.07676119447735229,0.08602859780564238
2018-W26,2018-06-25,2018-06-29,0.039254065571612685,土,水,土,0.06091906116185628,0.049192729006169104
2018-W27,2018-07-02,2018-07-06,0.012493064247466405,木,土,土,0.03881428469571878,0.032042988835344996
2018-W28,2018-07-09,2018-07-13,0.1448230960271858,水,木,木,0.04760713379341747,0.04073510098283142
2018-W29,2018-07-16,2018-07-20,0.08046436626466108,土,金,水,0.043047651114621464,0.026773095016996828
2018-W30,2018-07-23,2018-07-27,-0.1529665470660417,火,土,土,0.050902830740121766,0.04971094463033523
2018-W31,2018-07-30,2018-08-03,-0.09909090264423089,水,水,木,0.03357556868912034,0.028245416240938293
2018-W32,2018-08-06,2018-08-10,0.06651073154823516,金,火,水,0.03409894229526324,0.025944208968741868
2018-W33,2018-08-13,2018-08-17,-0.08234233668831482,火,土,土,0.015626410335697224,0.017627109850597934
2018-W34,2018-08-20,2018-08-24,-0.002177859300012927,木,金,木,0.020758712711181317,0.015869720935864338
2018-W35,2018-08-27,2018-08-31,-0.07299503027188521,金,木,木,0.043420166455737624,0.03364257297489548
2018-W36,2018-09-03,2018-09-07,0.000948017135308661,土,土,土,0.028391169727668752,0.02286483919545975
2018-W37,2018-09-10,2018-09-14,0.07154327035154126,木,火,土,0.023955438933758417,0.020629866841486436
2018-W38,2018-09-17,2018-09-21,0.0825148073823229,水,水,木,0.027111721079908828,0.023262342552477503
2018-W39,2018-09-25,2018-09-28,0.06611053235570427,金,金,水,0.03498426888383481,0.021992229800396643
2018-W41,2018-10-08,2018-10-12,-0.08519352036503644,水,金,木,0.04764078330805263,0.04554726367924183
2018-W42,2018-10-15,2018-10-19,0.06467408678544344,金,土,水,0.05394931186967682,0.04516613895675508
2018-W43,2018-10-22,2018-10-26,-0.05857236756389303,火,水,土,0.05968771601119635,0.045479421074683835
2018-W44,2018-10-29,2018-11-02,0.10354994596552307,木,火,木,0.0498959207945408,0.03876220776300907
2018-W45,2018-11-05,2018-11-09,-0.02087386467767849,金,土,木,0.024310301504988634,0.019586240752489385
2018-W46,2018-11-12,2018-11-16,-0.03844743863352776,土,金,土,0.03603318446028045,0.02308407488399066
2018-W47,2018-11-19,2018-11-23,-0.07007366056811005,木,木,土,0.023037918627876155,0.0204219314835175
2018-W48,2018-11-26,2018-11-30,0.06999299658594287,水,土,木,0.018114762977220113,0.01903960575180481
2018-W49,2018-12-03,2018-12-07,-0.014326000226946412,土,火,水,0.019283964998054348,0.015492276662795793
2018-W50,2018-12-10,2018-12-14,0.013322534166361182,火,水,土,0.026969922550423762,0.019961406462346842
2018-W51,2018-12-17,2018-12-21,-0.020926012548191885,水,土,木,0.01674973332685217,0.012196582403397152
2018-W52,2018-12-24,2018-12-28,-0.05573463652224307,金,木,水,0.009746017717688672,0.012347978636387216
2019-W01,2019-01-02,2019-01-04,0.04382589534053169,土,水,金,0.02394707126310966,0.015241571976679748
2019-W02,2019-01-07,2019-01-11,-0.02789782128747109,木,土,木,0.01926330244696122,0.016519920881668215
2019-W03,2019-01-14,2019-01-18,-0.00897814322322442,金,水,木,0.013679407601913796,0.010608723649356935
2019-W04,2019-01-21,2019-01-25,0.028820438535491884,土,火,土,0.017122017917203042,0.012813472178294191
2019-W05,2019-01-28,2019-02-01,0.030169958347152553,木,土,土,0.0177734460026613,0.012535836761050906
2019-W07,2019-02-11,2019-02-15,0.017378971238232576,土,木,水,0.02604532138206237,0.02101026986385369
2019-W08,2019-02-18,2019-02-22,-0.001066161328262001,火,土,土,0.018951266507002084,0.015088134808643147
2019-W09,2019-02-25,2019-03-01,-0.014226873541209249,水,火,木,0.04539581040760398,0.03676273159018855
2019-W10,2019-03-04,2019-03-08,-0.08372049466720378,金,水,水,0.026200682908307286,0.022827416433686375
2019-W11,2019-03-11,2019-03-15,0.02149168514574938,火,土,土,0.027807928618087722,0.024477328111254103
2019-W12,2019-03-18,2019-03-22,-0.030708656619166334,木,木,木,0.0056643832786785414,0.007370030645456142
2019-W13,2019-03-25,2019-03-29,-0.04598511324182338,金,金,木,0.029417950864318806,0.023272091657287164
2019-W14,2019-04-01,2019-04-04,-0.02557024136920279,土,土,土,0.013270744658350457,0.010331947367893477
2019-W15,2019-04-08,2019-04-12,-0.0037742785414301037,木,水,土,0.020876917889893824,0.01926630614753639
2019-W16,2019-04-15,2019-04-19,0.027168632129139947,水,火,木,0.027548910210108617,0.02166432665382605
2019-W17,2019-04-22,2019-04-26,-0.023416190090444534,土,土,水,0.022905107720730233,0.018892770748481523
2019-W18,2019-04-29,2019-04-30,-0.0002507208236776193,火,金,火,0.003998773932722573,0.0028275601642601305
2019-W19,2019-05-06,2019-05-10,-0.021362628141361962,水,木,木,0.02719288016131657,0.023142795915790538
