年月,收益率,天干,地支,五行_干,五行_支,月
2010-01,-0.005616812335721264,乙,卯,木,木,1
2010-02,0.00171589160931358,壬,午,水,火,2
2010-03,0.0002776947596093028,庚,戌,金,土,3
2010-04,-0.005218366942560832,辛,巳,金,火,4
2010-05,-0.004152782750514117,甲,寅,木,木,5
2010-06,-0.004222880882457066,壬,午,水,火,6
2010-07,0.006433050357933956,壬,子,水,水,7
2010-08,0.002384982113989424,甲,申,木,金,8
2010-09,0.0006819044960664036,甲,寅,木,木,9
2010-10,0.009761402648010495,辛,卯,金,木,10
2010-11,-0.003379584687865296,乙,卯,木,木,11
2010-12,0.0005342598643718815,乙,酉,木,金,12
2011-01,-0.0017390465332141614,己,未,土,土,1
2011-02,0.005026486520824173,丁,亥,火,水,2
2011-03,-0.0010979064824879372,乙,卯,木,木,3
2011-04,-0.0010074229216120504,丙,戌,火,土,4
2011-05,-0.002501197092106748,戊,午,土,火,5
2011-06,0.0018614146286636375,丁,亥,火,水,6
2011-07,-0.0004204444203991771,丁,巳,火,火,7
2011-08,-0.002112728930055063,戊,子,土,水,8
2011-09,-0.004746048675690797,己,未,土,土,9
2011-10,0.0013089013090207824,戊,戌,土,土,10
2011-11,-0.003461776417807301,庚,申,金,金,11
2011-12,-0.003690334585289284,庚,寅,金,木,12
2012-01,0.0030857891090996384,甲,子,木,水,1
2012-02,0.003772033874637918,壬,辰,水,土,2
2012-03,-0.002906380857999304,辛,酉,金,金,3
2012-04,0.004709891270923211,丙,申,火,金,4
2012-05,-8.482162387878456e-05,癸,亥,水,水,5
2012-06,-0.003194902048366405,癸,巳,水,火,6
2012-07,-0.002078398553006339,甲,子,木,水,7
2012-08,-0.0042084557809740145,甲,午,木,火,8
2012-09,0.0029514383242889852,丁,卯,火,木,9
2012-10,-0.0012943847250517103,壬,寅,水,木,10
2012-11,-0.003088670669316971,丙,寅,火,木,11
2012-12,0.006935470519325991,戊,戌,土,土,12
2013-01,0.0030126562522543145,庚,午,金,火,1
2013-02,-4.813629659587241e-05,戊,戌,土,土,2
2013-03,-0.003722601423508913,丙,寅,火,木,3
2013-04,-0.001182720228745937,丁,酉,火,金,4
2013-05,0.002939281804897281,戊,辰,土,土,5
2013-06,-0.010608099031388112,庚,子,金,水,6
2013-07,0.0005779307014214976,戊,辰,土,土,7
2013-08,0.0025471576160091243,己,亥,土,水,8
2013-09,0.0020444838702136326,辛,未,金,土,9
2013-10,-0.0003962730476077536,丁,未,火,土,10
2013-11,0.0006127654090456669,辛,未,金,土,11
2013-12,-0.002217272075209316,壬,寅,水,木,12
2014-01,-0.0025476223008321698,癸,酉,水,金,1
2014-02,-0.0026955950730421577,己,酉,土,金,2
2014-03,-0.0010624859731777122,癸,酉,水,金,3
2014-04,0.0008530677833586646,壬,寅,水,木,4
2014-05,0.00039252792909008627,丙,子,火,水,5
2014-06,-0.0001087783513741114,乙,巳,木,火,6
2014-07,0.0035479089292140926,癸,酉,水,金,7
2014-08,-0.0006464295495928937,甲,辰,木,土,8
2014-09,0.001474160415589253,乙,亥,木,水,9
2014-10,0.0010390213780838893,壬,子,水,水,10
2014-11,0.0045804212540877355,戊,寅,土,木,11
2014-12,0.009043042265448884,丙,午,火,火,12
2015-01,0.0008761448013062057,辛,巳,金,火,1
2015-02,0.0036436736965416014,己,酉,土,金,2
2015-03,0.005227034644309444,丁,丑,火,土,3
2015-04,0.0057851730038263735,丁,未,火,土,4
2015-05,0.0044562453025095376,庚,辰,金,土,5
2015-06,-0.004860031612773311,戊,申,土,金,6
2015-07,-0.005655706561167901,戊,寅,土,木,7
2015-08,-0.0068409122218829835,辛,亥,金,水,8
2015-09,-0.0024116175719473233,庚,辰,金,土,9
2015-10,0.008852536546192322,丁,巳,火,火,10
2015-11,0.002245141711823175,壬,午,水,火,11
2015-12,0.0022906033988815606,辛,亥,金,水,12
2016-01,-0.013968143932676591,乙,酉,木,金,1
2016-02,-0.0017944316073944186,癸,丑,水,土,2
2016-03,0.006273945526302145,壬,午,水,火,3
2016-04,-0.0014220095228816676,癸,丑,水,土,4
2016-05,0.00022405512907585132,乙,酉,木,金,5
2016-06,0.0016999405327353778,甲,寅,木,木,6
2016-07,-0.0006727462827711152,甲,申,木,金,7
2016-08,0.0018089345197245157,乙,卯,木,木,8
2016-09,-0.0008424475763521011,丙,戌,火,土,9
2016-10,0.0008276403869444046,乙,丑,木,土,10
2016-11,0.0013032711658565606,丁,亥,火,水,11
2016-12,-0.003516214362840114,丁,巳,火,火,12
2017-01,-0.0006324921350767984,庚,寅,金,木,1
2017-02,0.0018641170280224533,辛,酉,金,金,2
2017-03,0.00017856961843929294,丁,亥,火,水,3
2017-04,-0.0010066328755741513,壬,戌,水,土,4
2017-05,-0.001800660273017818,己,丑,土,土,5
2017-06,0.0030013919978574073,己,未,土,土,6
2017-07,-6.10670389557189e-05,辛,卯,金,木,7
2017-08,0.0013052833780549014,庚,申,金,金,8
2017-09,0.0011939576572217077,辛,卯,金,木,9
2017-10,0.001494394115263962,己,巳,土,火,10
2017-11,-0.0016482083293351496,壬,辰,水,土,11
2017-12,0.00045741524791175793,壬,戌,水,土,12
2018-01,0.000522394296671477,甲,午,木,火,1
2018-02,-0.001800183905361282,甲,子,木,水,2
2018-03,0.00025707755120547973,壬,辰,水,土,3
2018-04,-0.0027848512242935547,甲,子,木,水,4
2018-05,-7.62175423619883e-05,甲,午,木,火,5
2018-06,-0.004499102944932503,甲,子,木,水,6
2018-07,-0.0008885673053717649,乙,未,木,土,7
2018-08,-0.003372501506854347,乙,丑,木,土,8
2018-09,-0.00033684972565223585,戊,戌,土,土,9
2018-10,-0.006115373913860843,癸,酉,水,金,10
2018-11,0.0013217580375757417,丁,酉,火,金,11
2018-12,-0.0028767334710200097,己,巳,土,火,12
2019-01,0.0015354726942744081,己,亥,土,水,1
2019-02,0.012828323045993106,己,巳,土,火,2
2019-03,0.004602495972518257,丁,酉,火,金,3
2019-04,-0.0010079049541271913,戊,辰,土,土,4
2019-05,-0.003749479428293551,癸,卯,水,木,5
2019-06,0.0015814466373588187,辛,未,金,土,6
2019-07,0.0007703017561644135,己,亥,土,水,7
2019-08,0.0002586192155255927,庚,午,金,火,8
2019-09,0.0004944571620287608,壬,寅,水,木,9
2019-10,0.001135485996768869,戊,寅,土,木,10
2019-11,-0.00021942304763764681,壬,寅,水,木,11
2019-12,0.0038994099250765912,癸,酉,水,金,12
2020-01,0.0015827497782673963,甲,辰,木,土,1
2020-02,0.0017653018040315383,丙,子,火,水,2
2020-03,-0.004131352461129783,甲,辰,木,土,3
2020-04,0.0035823671389828347,甲,戌,木,土,4
2020-05,0.00018288171175400036,己,酉,土,金,5
2020-06,0.005545854638826059,乙,亥,木,水,6
2020-07,0.00587677540516101,乙,巳,木,火,7
2020-08,0.0005076223539802855,戊,寅,土,木,8
2020-09,-0.0028168003416023306,丁,未,火,土,9
2020-10,0.0016822130217109266,乙,酉,木,金,10
2020-11,0.0015913341666272567,己,酉,土,金,11
2020-12,0.0025336434418023156,戊,寅,土,木,12
2021-01,0.0013287841668228717,壬,子,水,水,1
2021-02,-0.0012860789945347746,庚,辰,金,土,2
2021-03,-0.0020699160000590905,戊,申,土,金,3
2021-04,0.0022871070902064083,己,卯,土,木,4
2021-05,0.0021716140891601243,甲,寅,木,木,5
2021-06,0.0005732928109683484,庚,辰,金,土,6
2021-07,-0.0019929143502879273,庚,戌,金,土,7
2021-08,-0.00039061403956691665,壬,午,水,火,8
2021-09,-1.7647898539235874e-05,壬,子,水,水,9
2021-10,0.0006574820570226375,己,丑,土,土,10
2021-11,0.0010931128844587459,癸,丑,水,土,11
2021-12,0.00022573352660522168,癸,未,水,土,12
2022-01,-0.005627189698719723,丁,巳,火,火,1
2022-02,0.0006665042099708793,辛,卯,金,木,2
2022-03,-0.004339164436437796,癸,丑,水,土,3
2022-04,-0.004698884954231185,甲,申,木,金,4
2022-05,0.0024489924620163996,戊,午,土,火,5
2022-06,0.005434928997506659,乙,酉,木,金,6
2022-07,-0.0023359451209958174,乙,卯,木,木,7
2022-08,-0.0015590672868068956,丙,戌,火,土,8
2022-09,-0.00430299440371201,丁,巳,火,火,9
2022-10,-0.0021244968188967664,丙,申,火,金,10
2022-11,0.003106970024741544,戊,午,土,火,11
2022-12,-0.00034663408971315326,戊,子,土,水,12
2023-01,0.005395246965325347,辛,酉,金,金,1
2023-02,-0.0008673339892021458,庚,寅,金,木,2
2023-03,-0.00017834242471871713,戊,午,土,火,3
2023-04,-0.0019337031231406014,辛,卯,金,木,4
2023-05,-0.00243768016474723,壬,戌,水,土,5
2023-06,0.001120650736310186,庚,寅,金,木,6
2023-07,0.0007189585732996905,壬,戌,水,土,7
2023-08,-0.00302393356651066,辛,卯,金,木,8
2023-09,-0.0014644057479132945,壬,戌,水,土,9
2023-10,-0.0013892290536007333,庚,子,金,水,10
2023-11,-0.0006011862082441401,癸,亥,水,水,11
2023-12,-0.0009467887508235197,癸,巳,水,火,12
2024-01,-0.00661238213908027,乙,丑,木,土,1
2024-02,0.008759905097058722,乙,未,木,土,2
2024-03,0.0004170759023199009,甲,子,木,水,3
2024-04,0.0010797168805952773,乙,未,木,土,4
2024-05,-0.0011301779645988108,庚,午,金,火,5
2024-06,-0.0029401462995292935,戊,戌,土,土,6
2024-07,-0.0003830930181275271,丙,寅,火,木,7
2024-08,-0.0021116287877374173,丁,酉,火,金,8
2024-09,0.012744092693468814,己,巳,土,火,9
2024-10,0.0009107065270509911,乙,巳,木,火,10
2024-11,0.0002653123936085918,己,巳,土,火,11
2024-12,-0.00079740670448651,庚,子,金,水,12
2025-01,-0.0012878907045514186,辛,未,金,土,1
2025-02,0.0025241775860560967,乙,巳,木,火,2
2025-03,-0.00044482884300265475,辛,未,金,土,3
2025-04,-0.0025516052622458854,庚,子,金,水,4
2025-05,0.0007845547028319317,乙,亥,木,水,5
2025-06,0.002103243139178079,癸,卯,水,木,6
2025-07,0.002238073431026391,辛,未,金,土,7
2025-08,0.006860074801825272,壬,寅,水,木,8
2025-09,0.0030093432427000296,癸,酉,水,金,9
2025-10,-0.0005075646813042609,辛,亥,金,水,10
2025-11,-0.0014152210300240275,丙,子,火,水,11
2025-12,0.0018266684012598368,甲,辰,木,土,12
2026-01,0.0024995421818687523,己,卯,土,木,1
2026-02,0.001528736892757462,丁,未,火,土,2
2026-03,-0.003184197397449896,乙,亥,木,水,3
2026-04,0.0055556955261649565,乙,巳,木,火,4
2026-05,0.010619153050230146,庚,辰,金,土,5
