周标签,收益率,天数,天干,地支,五行_干
2010-01_W1,-0.004913020196044671,4,乙,卯,木
2010-01_W2,8.624902168186122e-05,5,辛,酉,金
2010-01_W3,-0.010164928098681969,5,戊,辰,土
2010-01_W4,-0.007334791641904958,5,乙,亥,木
2010-02_W5,-0.003506667121169249,5,壬,午,水
2010-02_W6,0.0064403457234037285,5,己,丑,土
2010-02_W8,0.0022139962257062607,5,癸,卯,水
2010-03_W10,-0.002772979983771173,5,丁,巳,火
2010-03_W11,0.0031131556398310556,5,甲,子,木
2010-03_W12,-0.0017855678049305767,5,辛,未,金
2010-03_W13,0.00696463037555332,3,戊,寅,土
2010-03_W9,-0.0014559901822585042,5,庚,戌,金
2010-04_W13,0.010895722320258261,2,辛,巳,金
2010-04_W14,-0.004146868075695365,4,丙,戌,火
2010-04_W15,-0.0021823902849027244,5,壬,辰,水
2010-04_W16,-0.011390937587070748,5,己,亥,土
2010-04_W17,-0.009384607754329033,5,丙,午,火
2010-05_W18,-0.023366410825947675,4,甲,寅,木
2010-05_W19,0.003711219529773313,5,庚,申,金
2010-05_W20,-0.0018607631826358384,5,丁,卯,火
2010-05_W21,0.0057858032097292565,5,甲,戌,木
2010-05_W22,-0.02777130949082529,1,辛,巳,金
2010-06_W22,-0.00038105970367391384,4,壬,午,水
2010-06_W23,0.0011666061282768815,5,戊,子,土
2010-06_W24,-0.01339336067727448,2,戊,戌,土
2010-06_W25,0.002901135105080166,5,壬,寅,水
2010-06_W26,-0.02408749425474162,3,己,酉,土
2010-07_W26,-0.00844642698892778,2,壬,子,水
2010-07_W27,0.012572763217163297,5,丙,辰,火
2010-07_W28,-0.00014644998097539385,5,癸,亥,水
2010-07_W29,0.0143607822232511,5,庚,午,金
2010-07_W30,0.004896896911041515,5,丁,丑,火
2010-08_W31,0.003003545857041079,5,甲,申,木
2010-08_W32,-0.0008936949962693008,5,辛,卯,金
2010-08_W33,0.0038295333280339073,5,戊,戌,土
2010-08_W34,-0.000939734780778334,5,乙,巳,木
2010-08_W35,0.013735679733815287,2,壬,子,水
2010-09_W35,0.0037809410001635735,3,甲,寅,木
2010-09_W36,0.0011921199212204358,5,己,未,土
2010-09_W37,-0.005560783157113192,5,丙,寅,火
2010-09_W38,0.00012503396191604343,2,癸,酉,水
2010-09_W39,0.00580165267010066,4,庚,辰,金
2010-10_W40,0.0386122282490462,1,辛,卯,金
2010-10_W41,0.014018176221267687,5,甲,午,木
2010-10_W42,0.00716654813568296,5,辛,丑,金
2010-10_W43,0.0023293184668736976,5,戊,申,土
2010-11_W44,0.0055550783901547,5,乙,卯,木
2010-11_W45,-0.014705270380950907,5,壬,戌,水
2010-11_W46,-0.006549290653555672,5,己,巳,土
2010-11_W47,0.004063461359696196,5,丙,子,火
2010-11_W48,-0.008085378354879047,2,癸,未,水
2010-12_W48,0.0028836438829382325,3,乙,酉,木
2010-12_W49,0.00036823261403773344,5,庚,寅,金
2010-12_W50,0.004876431430248851,5,丁,酉,火
2010-12_W51,-0.0030955672802939873,5,甲,辰,木
2010-12_W52,-0.0014216877176448817,5,辛,亥,金
2011-01_W1,0.002362567883262612,4,己,未,土
2011-01_W2,-0.004449199734821252,5,乙,丑,木
2011-01_W3,-0.010479324993755168,5,壬,申,水
2011-01_W4,0.004393111886397039,5,己,卯,土
2011-01_W5,0.008445862013563232,1,丙,戌,火
2011-02_W5,-0.0002644504848979823,1,丁,亥,火
2011-02_W6,0.008473279563194066,3,乙,未,木
2011-02_W7,0.005321244932807456,5,庚,子,金
2011-02_W8,0.00047577444203927843,5,丁,未,火
2011-02_W9,0.021256812733444708,1,甲,寅,木
2011-03_W10,-0.0006473202247062604,5,辛,酉,金
2011-03_W11,-0.0018783345829941345,5,戊,辰,土
2011-03_W12,0.0034750445320173686,5,乙,亥,木
2011-03_W13,-0.0073928623910622104,4,壬,午,水
2011-03_W9,-0.00010683703863964555,4,乙,卯,木
2011-04_W13,0.010866598407485606,1,丙,戌,火
2011-04_W14,0.00877121563733548,3,辛,卯,金
2011-04_W15,-0.0010454264853870798,5,丙,申,火
2011-04_W16,-0.003976569571356792,5,癸,卯,水
2011-04_W17,-0.006242260109280329,5,庚,戌,金
2011-05_W18,-0.004919084603155627,4,戊,午,土
2011-05_W19,0.0014940252496745243,5,甲,子,木
2011-05_W20,9.496958700445645e-05,5,辛,未,金
2011-05_W21,-0.011163533028198835,5,戊,寅,土
2011-05_W22,0.007511945217990035,2,乙,酉,木
2011-06_W22,-0.0005798980337137957,3,丁,亥,火
2011-06_W23,-0.0009832029552526989,4,癸,巳,水
2011-06_W24,-0.0031322690958722975,5,己,亥,土
2011-06_W25,0.010138388310288815,5,丙,午,火
2011-06_W26,0.002432904263001495,4,癸,丑,水
2011-07_W26,0.0055447430094350825,1,丁,巳,火
2011-07_W27,0.0037286552004002437,5,庚,申,金
2011-07_W28,0.00170006534074012,5,丁,卯,火
2011-07_W29,-0.002469672448232019,5,甲,戌,木
2011-07_W30,-0.005833863260471905,5,辛,巳,金
2011-08_W31,-0.004831607806310223,5,戊,子,土
2011-08_W32,-0.0007130813135691305,5,乙,未,木
2011-08_W33,-0.006039596070762499,5,壬,寅,水
2011-08_W34,0.004806959472733863,5,己,酉,土
2011-08_W35,-0.0049020456005755,3,丙,辰,火
2011-09_W35,-0.007443555240519817,2,己,未,土
2011-09_W36,-0.005935561619798113,5,癸,亥,水
2011-09_W37,-0.0003067253840436379,4,辛,未,金
2011-09_W38,-0.006115488129873059,5,丁,丑,火
2011-09_W39,-0.004659552284787339,5,甲,申,木
2011-10_W41,0.0029704478801743095,5,戊,戌,土
2011-10_W42,-0.01452687495830205,5,乙,巳,木
2011-10_W43,0.017280246501547046,5,壬,子,水
2011-10_W44,-0.007676676172764019,1,己,未,土
2011-11_W44,0.005192349474068492,4,庚,申,金
2011-11_W45,-0.0052724766938197385,5,丙,寅,火
2011-11_W46,-0.00751474502699403,5,癸,酉,水
2011-11_W47,-0.0027790934059601867,5,庚,辰,金
2011-11_W48,-0.006365634484721605,3,丁,亥,火
2011-12_W48,0.006051930182709719,2,庚,寅,金
2011-12_W49,-0.006737674385597292,5,甲,午,木
2011-12_W50,-0.00840557674869955,5,辛,丑,金
2011-12_W51,-0.0023001432428756408,5,戊,申,土
2011-12_W52,-0.0012148498711842537,5,乙,卯,木
2012-01_W1,-0.01067352829219618,3,甲,子,木
2012-01_W2,0.009274903086440434,5,己,巳,土
2012-01_W3,0.00980721516245009,5,丙,子,火
2012-01_W5,-0.008551584865684747,2,庚,寅,金
2012-02_W5,0.004842104353110499,3,壬,辰,水
2012-02_W6,0.0033718368387447573,5,丁,酉,火
2012-02_W7,0.0005308546470509157,5,甲,辰,木
2012-02_W8,0.01039432792386874,5,辛,亥,金
2012-02_W9,-0.0022662329134190973,3,戊,午,土
2012-03_W10,0.0007301339096354109,5,乙,丑,木
2012-03_W11,-0.0009128232772133815,5,壬,申,水
2012-03_W12,-0.007759652426344599,5,己,卯,土
2012-03_W13,-0.00971790896975624,5,丙,戌,火
2012-03_W9,0.012180437471204675,2,辛,酉,金
2012-04_W14,0.019847994112770273,2,丙,申,火
2012-04_W15,0.005253241073987325,5,庚,子,金
2012-04_W16,0.00182890839225891,5,丁,未,火
2012-04_W17,0.0009922832097845724,5,甲,寅,木
2012-05_W18,0.012746414230510336,3,癸,亥,水
2012-05_W19,-0.006909669674178565,5,戊,辰,土
2012-05_W20,-0.006013170030229586,5,乙,亥,木
2012-05_W21,-0.00028417085166583257,5,壬,午,水
2012-05_W22,0.006482433590876413,4,己,丑,土
2012-06_W22,0.0004332730853007227,1,癸,巳,水
2012-06_W23,-0.008758143223197212,5,丙,申,火
2012-06_W24,0.003699181228766402,5,癸,卯,水
2012-06_W25,-0.005127092079334594,4,庚,戌,金
2012-06_W26,-0.0037056271526272775,5,丁,巳,火
2012-07_W27,0.0040776833479290175,5,甲,子,木
2012-07_W28,0.0021864670527382613,5,辛,未,金
2012-07_W29,-0.009502551682518234,5,戊,寅,土
2012-07_W30,-0.005291903539720444,5,乙,酉,木
2012-07_W31,-0.0015366220291412325,2,壬,辰,水
2012-08_W31,0.0007342293773239991,3,甲,午,木
2012-08_W32,0.0035821014357671154,5,己,亥,土
2012-08_W33,-0.0077587529281363254,5,丙,午,火
2012-08_W34,-0.006918742051131699,5,癸,丑,水
2012-08_W35,-0.008704040675373958,5,庚,申,金
2012-09_W36,0.012083853093243956,5,丁,卯,火
2012-09_W37,0.0007343140745441845,5,甲,戌,木
2012-09_W38,-0.012541174198200822,5,辛,巳,金
2012-09_W39,0.01152876032756862,5,戊,子,土
2012-10_W41,-0.0005710939384652169,5,壬,寅,水
2012-10_W42,0.0033871043049609195,5,己,酉,土
2012-10_W43,-0.008788056134468559,5,丙,辰,火
2012-10_W44,0.002187101262977831,3,癸,亥,水
2012-11_W44,0.012368650423930427,2,丙,寅,火
2012-11_W45,-0.007538651288530396,5,庚,午,金
2012-11_W46,-0.005729882131195097,5,丁,丑,火
2012-11_W47,-4.090123305047211e-05,5,甲,申,木
2012-11_W48,-0.005228176461790879,5,辛,卯,金
2012-12_W1,0.00991404665342488,1,丙,寅,火
2012-12_W49,0.007350769177313787,5,戊,戌,土
2012-12_W50,0.00837288681889925,5,乙,巳,木
2012-12_W51,0.0029809596892764745,5,壬,子,水
