wuxing,holding_months,stocks_in_top10,total_stocks,coverage_pct,total_instances,top10_entries,pick_rate_pct,avg_rank,avg_return
金,1,36,38,94.7,1010,54,5.3,4.48,12.9389
土,1,36,38,94.7,2057,78,3.8,4.67,10.1418
木,1,35,38,92.1,1055,62,5.9,5.31,9.1127
木,2,31,38,81.6,1055,48,4.5,5.92,7.8301
水,1,24,38,63.2,1028,32,3.1,5.38,15.7907
木,3,23,38,60.5,1055,23,2.2,6.0,7.9788
土,2,20,38,52.6,2057,23,1.1,6.35,9.5983
火,1,16,38,42.1,1028,23,2.2,5.52,11.7401
土,3,13,38,34.2,2057,13,0.6,8.38,6.61
火,2,8,38,21.1,1028,8,0.8,6.88,9.9181
金,2,5,38,13.2,1010,6,0.6,7.67,7.3641
金,3,4,38,10.5,1010,4,0.4,5.75,8.4271
水,3,2,38,5.3,1028,2,0.2,8.0,10.1702
水,2,2,38,5.3,1028,2,0.2,10.0,4.2645
土,6,1,38,2.6,2057,1,0.0,9.0,5.8928
火,3,1,38,2.6,1028,1,0.1,10.0,3.9315
