entry_month,ts_code,month_wuxing,hold_1m,hold_2m,hold_3m,hold_6m,hold_9m,hold_12m,hold_24m
2010-02,000001.SH,木,0.249422,-0.307549,-0.479604,-0.252416,-0.099947,-0.048128,-0.107968
2010-03,000001.SH,木,-0.616232,-0.664149,-0.645901,-0.270419,-0.126964,-0.058213,-0.14689
2010-04,000001.SH,土,-0.706083,-0.659864,-0.287353,0.076823,-0.036945,0.014249,-0.086338
2010-05,000001.SH,火,-0.606377,0.109686,0.073955,0.183682,0.164108,0.05838,-0.043358
2010-06,000001.SH,火,2.128377,0.773939,0.50322,0.370836,0.304854,0.151648,-0.036727
2010-07,000001.SH,土,0.005908,0.042016,0.627099,0.119539,0.140866,0.024353,-0.106923
2010-08,000001.SH,金,0.07942,1.069387,0.30462,0.211983,0.053238,-0.027078,-0.119131
2010-09,000001.SH,金,2.967279,0.434269,0.250111,0.215715,0.053785,-0.111623,-0.113683
2010-10,000001.SH,土,-0.481476,-0.29826,-0.229692,-0.044689,-0.122067,-0.171403,-0.166617
2010-11,000001.SH,水,-0.050305,-0.061116,0.125925,-0.053658,-0.117714,-0.1726,-0.162071
2010-12,000001.SH,水,-0.071803,0.225948,0.182265,-0.032493,-0.207231,-0.216752,-0.101071
2011-01,000001.SH,土,0.619212,0.334296,0.184746,-0.06274,-0.151009,-0.178479,-0.075458
2011-02,000001.SH,木,0.099514,0.013412,-0.204598,-0.218986,-0.253349,-0.164046,-0.097612
2011-03,000001.SH,木,-0.065946,-0.323482,-0.208241,-0.350823,-0.317199,-0.227218,-0.126018
2011-04,000001.SH,土,-0.51001,-0.27104,-0.258528,-0.281309,-0.272863,-0.17695,-0.13511
2011-05,000001.SH,火,0.084476,-0.087888,-0.233113,-0.276593,-0.150075,-0.135317,-0.084265
2011-06,000001.SH,火,-0.232857,-0.355108,-0.467729,-0.365919,-0.233442,-0.19429,-0.153498
2011-07,000001.SH,土,-0.457876,-0.556636,-0.303391,-0.279925,-0.14781,-0.221375,-0.140947
2011-08,000001.SH,金,-0.637404,-0.21035,-0.317608,-0.105243,-0.100021,-0.202474,-0.095933
2011-09,000001.SH,金,0.719675,-0.063863,-0.244635,-0.080078,-0.074889,-0.115739,-0.03991
2011-10,000001.SH,土,-0.490396,-0.499376,-0.25567,-0.057437,-0.191945,-0.161803,-0.068514
2011-11,000001.SH,水,-0.508197,-0.100436,0.173212,0.03355,-0.15993,-0.151408,-0.024494
2011-12,000001.SH,水,0.645405,0.812045,0.120329,0.023794,-0.068059,0.031695,-0.019152
2012-01,000001.SH,土,0.995562,-0.075553,0.19359,-0.158064,-0.127954,0.040483,-0.0583
2012-02,000001.SH,木,-0.571748,-0.076898,-0.089487,-0.289139,-0.238261,-0.025899,-0.079814
2012-03,000001.SH,木,0.98976,0.327639,-0.064423,-0.150018,0.003737,-0.011565,-0.052063
2012-04,000001.SH,土,-0.114152,-0.358467,-0.406115,-0.254613,-0.006057,-0.091142,-0.080427
2012-05,000001.SH,火,-0.535401,-0.513733,-0.445013,-0.303267,-0.003731,-0.030199,-0.072844
2012-06,000001.SH,火,-0.491055,-0.393424,-0.227781,0.039656,0.00671,-0.110641,-0.040615
2012-07,000001.SH,土,-0.277064,-0.048792,-0.064463,0.285852,0.047355,-0.052211,0.023012
2012-08,000001.SH,金,0.251558,0.064245,-0.125319,0.334823,0.168107,0.024841,0.040611
2012-09,000001.SH,金,-0.095034,-0.268778,0.399714,0.14944,-0.067771,0.042421,0.06448
2012-10,000001.SH,土,-0.409165,0.740776,0.767344,0.10818,-0.048092,0.035157,0.081574
2012-11,000001.SH,水,4.128848,2.056669,1.03703,0.349893,0.080419,0.121401,0.163997
2012-12,000001.SH,水,0.821701,0.283767,-0.056084,-0.23921,-0.055117,-0.067492,0.19395
2013-01,000001.SH,土,-0.095319,-0.320543,-0.305136,-0.301394,-0.1339,-0.147705,0.160098
