month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2010-01,000001.SH,,丁,丑,火,土,土
2010-02,000001.SH,0.020958,戊,寅,土,木,木
2010-03,000001.SH,0.01873,己,卯,土,木,木
2010-04,000001.SH,-0.076708,庚,辰,金,土,土
2010-05,000001.SH,-0.097005,辛,巳,金,火,火
2010-06,000001.SH,-0.074755,壬,午,水,火,火
2010-07,000001.SH,0.099706,癸,未,水,土,土
2010-08,000001.SH,0.000491,甲,申,木,金,金
2010-09,000001.SH,0.006389,乙,酉,木,金,金
2010-10,000001.SH,0.121694,丙,戌,火,土,土
2010-11,000001.SH,-0.05326,丁,亥,火,水,水
2010-12,000001.SH,-0.004292,戊,子,土,水,水
2011-01,000001.SH,-0.00619,己,丑,土,土,土
2011-02,000001.SH,0.040979,庚,寅,金,木,木
2011-03,000001.SH,0.007937,辛,卯,金,木,木
2011-04,000001.SH,-0.005669,壬,辰,水,土,土
2011-05,000001.SH,-0.057715,癸,巳,水,火,火
2011-06,000001.SH,0.006781,甲,午,木,火,火
2011-07,000001.SH,-0.021848,乙,未,木,土,土
2011-08,000001.SH,-0.049742,丙,申,火,金,金
2011-09,000001.SH,-0.081064,丁,酉,火,金,金
2011-10,000001.SH,0.046214,戊,戌,土,土,土
2011-11,000001.SH,-0.054628,己,亥,土,水,水
2011-12,000001.SH,-0.057425,庚,子,金,水,水
2012-01,000001.SH,0.042372,辛,丑,金,土,土
2012-02,000001.SH,0.059267,壬,寅,水,木,木
2012-03,000001.SH,-0.068231,癸,卯,水,木,木
2012-04,000001.SH,0.05901,甲,辰,木,土,土
2012-05,000001.SH,-0.01005,乙,巳,木,火,火
2012-06,000001.SH,-0.061884,丙,午,火,火,火
2012-07,000001.SH,-0.05473,丁,未,火,土,土
2012-08,000001.SH,-0.026674,戊,申,土,金,金
2012-09,000001.SH,0.018875,己,酉,土,金,金
2012-10,000001.SH,-0.008287,庚,戌,金,土,土
2012-11,000001.SH,-0.042904,辛,亥,金,水,水
2012-12,000001.SH,0.145957,壬,子,水,水,水
2013-01,000001.SH,0.051251,癸,丑,水,土,土
2013-02,000001.SH,-0.008313,甲,寅,木,木,木
2013-03,000001.SH,-0.05452,乙,卯,木,木,木
2013-04,000001.SH,-0.026249,丙,辰,火,土,土
2013-05,000001.SH,0.056331,丁,巳,火,火,火
2013-06,000001.SH,-0.139698,戊,午,土,火,火
2013-07,000001.SH,0.007373,己,未,土,土,土
2013-08,000001.SH,0.052454,庚,申,金,金,金
2013-09,000001.SH,0.036353,辛,酉,金,金,金
2013-10,000001.SH,-0.015198,壬,戌,水,土,土
2013-11,000001.SH,0.036837,癸,亥,水,水,水
2013-12,000001.SH,-0.047073,甲,子,木,水,水
2014-01,000001.SH,-0.039176,乙,丑,木,土,土
2014-02,000001.SH,0.011421,丙,寅,火,木,木
2014-03,000001.SH,-0.011183,丁,卯,火,木,木
2014-04,000001.SH,-0.003417,戊,辰,土,土,土
2014-05,000001.SH,0.006343,己,巳,土,火,火
2014-06,000001.SH,0.00447,庚,午,金,火,火
2014-07,000001.SH,0.07481,辛,未,金,土,土
2014-08,000001.SH,0.007103,壬,申,水,金,金
2014-09,000001.SH,0.066151,癸,酉,水,金,金
2014-10,000001.SH,0.02382,甲,戌,木,土,土
2014-11,000001.SH,0.108528,乙,亥,木,水,水
2014-12,000001.SH,0.205694,丙,子,火,水,水
2015-01,000001.SH,-0.007517,丁,丑,火,土,土
2015-02,000001.SH,0.03113,戊,寅,土,木,木
2015-03,000001.SH,0.132192,己,卯,土,木,木
2015-04,000001.SH,0.185105,庚,辰,金,土,土
2015-05,000001.SH,0.038294,辛,巳,金,火,火
2015-06,000001.SH,-0.072537,壬,午,水,火,火
2015-07,000001.SH,-0.143433,癸,未,水,土,土
2015-08,000001.SH,-0.124938,甲,申,木,金,金
2015-09,000001.SH,-0.047787,乙,酉,木,金,金
2015-10,000001.SH,0.108026,丙,戌,火,土,土
2015-11,000001.SH,0.018579,丁,亥,火,水,水
2015-12,000001.SH,0.027218,戊,子,土,水,水
2016-01,000001.SH,-0.226488,己,丑,土,土,土
2016-02,000001.SH,-0.018126,庚,寅,金,木,木
2016-03,000001.SH,0.117537,辛,卯,金,木,木
2016-04,000001.SH,-0.021835,壬,辰,水,土,土
2016-05,000001.SH,-0.007388,癸,巳,水,火,火
2016-06,000001.SH,0.004454,甲,午,木,火,火
2016-07,000001.SH,0.016976,乙,未,木,土,土
2016-08,000001.SH,0.035629,丙,申,火,金,金
2016-09,000001.SH,-0.026183,丁,酉,火,金,金
2016-10,000001.SH,0.03188,戊,戌,土,土,土
2016-11,000001.SH,0.048232,己,亥,土,水,水
2016-12,000001.SH,-0.045045,庚,子,金,水,水
2017-01,000001.SH,0.017892,辛,丑,金,土,土
2017-02,000001.SH,0.026136,壬,寅,水,木,木
2017-03,000001.SH,-0.005929,癸,卯,水,木,木
2017-04,000001.SH,-0.021057,甲,辰,木,土,土
2017-05,000001.SH,-0.011881,乙,巳,木,火,火
2017-06,000001.SH,0.02414,丙,午,火,火,火
2017-07,000001.SH,0.025248,丁,未,火,土,土
2017-08,000001.SH,0.02682,戊,申,土,金,金
2017-09,000001.SH,-0.003531,己,酉,土,金,金
2017-10,000001.SH,0.013258,庚,戌,金,土,土
2017-11,000001.SH,-0.022442,辛,亥,金,水,水
2017-12,000001.SH,-0.003019,壬,子,水,水,水
2018-01,000001.SH,0.05251,癸,丑,水,土,土
2018-02,000001.SH,-0.063613,甲,寅,木,木,木
2018-03,000001.SH,-0.027769,乙,卯,木,木,木
2018-04,000001.SH,-0.027349,丙,辰,火,土,土
2018-05,000001.SH,0.004296,丁,巳,火,火,火
2018-06,000001.SH,-0.080135,戊,午,土,火,火
2018-07,000001.SH,0.010179,己,未,土,土,土
2018-08,000001.SH,-0.052549,庚,申,金,金,金
2018-09,000001.SH,0.035263,辛,酉,金,金,金
2018-10,000001.SH,-0.077469,壬,戌,水,土,土
2018-11,000001.SH,-0.005607,癸,亥,水,水,水
2018-12,000001.SH,-0.036432,甲,子,木,水,水
2019-01,000001.SH,0.036359,乙,丑,木,土,土
2019-02,000001.SH,0.137888,丙,寅,火,木,木
2019-03,000001.SH,0.050937,丁,卯,火,木,木
2019-04,000001.SH,-0.004018,戊,辰,土,土,土
2019-05,000001.SH,-0.058357,己,巳,土,火,火
2019-06,000001.SH,0.027661,庚,午,金,火,火
2019-07,000001.SH,-0.015567,辛,未,金,土,土
2019-08,000001.SH,-0.015778,壬,申,水,金,金
2019-09,000001.SH,0.006566,癸,酉,水,金,金
2019-10,000001.SH,0.008215,甲,戌,木,土,土
2019-11,000001.SH,-0.019486,乙,亥,木,水,水
2019-12,000001.SH,0.062028,丙,子,火,水,水
2020-01,000001.SH,-0.024129,丁,丑,火,土,土
2020-02,000001.SH,-0.032328,戊,寅,土,木,木
2020-03,000001.SH,-0.045137,己,卯,土,木,木
2020-04,000001.SH,0.039918,庚,辰,金,土,土
2020-05,000001.SH,-0.002703,辛,巳,金,火,火
2020-06,000001.SH,0.046391,壬,午,水,火,火
2020-07,000001.SH,0.109001,癸,未,水,土,土
2020-08,000001.SH,0.025882,甲,申,木,金,金
2020-09,000001.SH,-0.052309,乙,酉,木,金,金
2020-10,000001.SH,0.002014,丙,戌,火,土,土
2020-11,000001.SH,0.051859,丁,亥,火,水,水
2020-12,000001.SH,0.023974,戊,子,土,水,水
2021-01,000001.SH,0.002879,己,丑,土,土,土
2021-02,000001.SH,0.007468,庚,寅,金,木,木
2021-03,000001.SH,-0.019141,辛,卯,金,木,木
2021-04,000001.SH,0.001436,壬,辰,水,土,土
2021-05,000001.SH,0.04892,癸,巳,水,火,火
2021-06,000001.SH,-0.006716,甲,午,木,火,火
2021-07,000001.SH,-0.053976,乙,未,木,土,土
2021-08,000001.SH,0.043146,丙,申,火,金,金
2021-09,000001.SH,0.006836,丁,酉,火,金,金
2021-10,000001.SH,-0.005838,戊,戌,土,土,土
2021-11,000001.SH,0.004666,己,亥,土,水,水
2021-12,000001.SH,0.021294,庚,子,金,水,水
