month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2012-08,801230.SI,,戊,申,土,金,金
2012-09,801230.SI,-0.007312,己,酉,土,金,金
2012-10,801230.SI,-0.012298,庚,戌,金,土,土
2012-11,801230.SI,-0.092113,辛,亥,金,水,水
2012-12,801230.SI,0.157612,壬,子,水,水,水
2013-01,801230.SI,0.083613,癸,丑,水,土,土
2013-02,801230.SI,0.049826,甲,寅,木,木,木
2013-03,801230.SI,-0.031023,乙,卯,木,木,木
2013-04,801230.SI,-0.030523,丙,辰,火,土,土
2013-05,801230.SI,0.122065,丁,巳,火,火,火
2013-06,801230.SI,-0.182633,戊,午,土,火,火
2013-07,801230.SI,0.056732,己,未,土,土,土
2013-08,801230.SI,0.093049,庚,申,金,金,金
2013-09,801230.SI,0.044345,辛,酉,金,金,金
2013-10,801230.SI,-0.043058,壬,戌,水,土,土
2013-11,801230.SI,0.045204,癸,亥,水,水,水
2013-12,801230.SI,-0.04984,甲,子,木,水,水
2014-01,801230.SI,0.015708,乙,丑,木,土,土
2014-02,801230.SI,0.088875,丙,寅,火,木,木
2014-03,801230.SI,-0.031884,丁,卯,火,木,木
2014-04,801230.SI,-0.020523,戊,辰,土,土,土
2014-05,801230.SI,0.0131,己,巳,土,火,火
2014-06,801230.SI,0.034684,庚,午,金,火,火
2014-07,801230.SI,0.063156,辛,未,金,土,土
2014-08,801230.SI,0.080965,壬,申,水,金,金
2014-09,801230.SI,0.126207,癸,酉,水,金,金
2014-10,801230.SI,0.013635,甲,戌,木,土,土
2014-11,801230.SI,0.062975,乙,亥,木,水,水
2014-12,801230.SI,-0.050267,丙,子,火,水,水
2015-01,801230.SI,0.050801,丁,丑,火,土,土
2015-02,801230.SI,0.082847,戊,寅,土,木,木
2015-03,801230.SI,0.17565,己,卯,土,木,木
2015-04,801230.SI,0.16284,庚,辰,金,土,土
2015-05,801230.SI,0.24841,辛,巳,金,火,火
2015-06,801230.SI,-0.07926,壬,午,水,火,火
2015-07,801230.SI,-0.201064,癸,未,水,土,土
2015-08,801230.SI,-0.076,甲,申,木,金,金
2015-09,801230.SI,-0.054157,乙,酉,木,金,金
2015-10,801230.SI,0.138709,丙,戌,火,土,土
2015-11,801230.SI,0.174858,丁,亥,火,水,水
2015-12,801230.SI,0.02488,戊,子,土,水,水
2016-01,801230.SI,-0.306802,己,丑,土,土,土
2016-02,801230.SI,-0.017727,庚,寅,金,木,木
2016-03,801230.SI,0.169941,辛,卯,金,木,木
2016-04,801230.SI,0.002024,壬,辰,水,土,土
2016-05,801230.SI,-0.061306,癸,巳,水,火,火
2016-06,801230.SI,0.045789,甲,午,木,火,火
2016-07,801230.SI,0.014421,乙,未,木,土,土
2016-08,801230.SI,0.102929,丙,申,火,金,金
2016-09,801230.SI,-0.019878,丁,酉,火,金,金
2016-10,801230.SI,0.039218,戊,戌,土,土,土
2016-11,801230.SI,-0.003814,己,亥,土,水,水
2016-12,801230.SI,-0.020759,庚,子,金,水,水
2017-01,801230.SI,-0.04829,辛,丑,金,土,土
2017-02,801230.SI,0.048908,壬,寅,水,木,木
2017-03,801230.SI,-0.031633,癸,卯,水,木,木
2017-04,801230.SI,-0.065544,甲,辰,木,土,土
2017-05,801230.SI,-0.088877,乙,巳,木,火,火
2017-06,801230.SI,0.040758,丙,午,火,火,火
2017-07,801230.SI,0.010627,丁,未,火,土,土
2017-08,801230.SI,0.038443,戊,申,土,金,金
2017-09,801230.SI,0.012069,己,酉,土,金,金
2017-10,801230.SI,-0.033119,庚,戌,金,土,土
2017-11,801230.SI,-0.081724,辛,亥,金,水,水
2017-12,801230.SI,-0.027837,壬,子,水,水,水
2018-01,801230.SI,-0.041923,癸,丑,水,土,土
2018-02,801230.SI,-0.063957,甲,寅,木,木,木
2018-03,801230.SI,-0.008618,乙,卯,木,木,木
2018-04,801230.SI,-0.072863,丙,辰,火,土,土
2018-05,801230.SI,-0.04817,丁,巳,火,火,火
2018-06,801230.SI,-0.122739,戊,午,土,火,火
2018-07,801230.SI,0.019013,己,未,土,土,土
2018-08,801230.SI,-0.080674,庚,申,金,金,金
2018-09,801230.SI,-0.022557,辛,酉,金,金,金
2018-10,801230.SI,-0.094756,壬,戌,水,土,土
2018-11,801230.SI,0.112154,癸,亥,水,水,水
2018-12,801230.SI,-0.043415,甲,子,木,水,水
2019-01,801230.SI,-0.042715,乙,丑,木,土,土
2019-02,801230.SI,0.229612,丙,寅,火,木,木
2019-03,801230.SI,0.139633,丁,卯,火,木,木
2019-04,801230.SI,-0.05191,戊,辰,土,土,土
2019-05,801230.SI,-0.063221,己,巳,土,火,火
2019-06,801230.SI,0.001033,庚,午,金,火,火
2019-07,801230.SI,-0.03219,辛,未,金,土,土
2019-08,801230.SI,-0.011537,壬,申,水,金,金
2019-09,801230.SI,0.002539,癸,酉,水,金,金
2019-10,801230.SI,0.008829,甲,戌,木,土,土
2019-11,801230.SI,-0.007876,乙,亥,木,水,水
2019-12,801230.SI,0.101699,丙,子,火,水,水
2020-01,801230.SI,0.019758,丁,丑,火,土,土
2020-02,801230.SI,0.031828,戊,寅,土,木,木
2020-03,801230.SI,-0.073403,己,卯,土,木,木
2020-04,801230.SI,0.02588,庚,辰,金,土,土
2020-05,801230.SI,0.006101,辛,巳,金,火,火
2020-06,801230.SI,0.069338,壬,午,水,火,火
2020-07,801230.SI,0.120052,癸,未,水,土,土
2020-08,801230.SI,0.021996,甲,申,木,金,金
2020-09,801230.SI,-0.107416,乙,酉,木,金,金
2020-10,801230.SI,0.018966,丙,戌,火,土,土
2020-11,801230.SI,-0.007446,丁,亥,火,水,水
2020-12,801230.SI,0.01667,戊,子,土,水,水
2021-01,801230.SI,-0.03973,己,丑,土,土,土
2021-02,801230.SI,0.001968,庚,寅,金,木,木
2021-03,801230.SI,0.041266,辛,卯,金,木,木
2021-04,801230.SI,0.0424,壬,辰,水,土,土
2021-05,801230.SI,0.026356,癸,巳,水,火,火
2021-06,801230.SI,0.098644,甲,午,木,火,火
2021-07,801230.SI,-0.038987,乙,未,木,土,土
2021-08,801230.SI,0.105504,丙,申,火,金,金
2021-09,801230.SI,-0.121491,丁,酉,火,金,金
2021-10,801230.SI,0.014129,戊,戌,土,土,土
2021-11,801230.SI,-0.027303,己,亥,土,水,水
2021-12,801230.SI,0.049687,庚,子,金,水,水
2022-01,801230.SI,-0.066357,辛,丑,金,土,土
2022-02,801230.SI,0.085433,壬,寅,水,木,木
2022-03,801230.SI,0.020835,癸,卯,水,木,木
2022-04,801230.SI,-0.126776,甲,辰,木,土,土
2022-05,801230.SI,0.044799,乙,巳,木,火,火
2022-06,801230.SI,0.043989,丙,午,火,火,火
2022-07,801230.SI,0.018553,丁,未,火,土,土
2022-08,801230.SI,0.024033,戊,申,土,金,金
2022-09,801230.SI,-0.05199,己,酉,土,金,金
2022-10,801230.SI,0.010318,庚,戌,金,土,土
2022-11,801230.SI,0.098231,辛,亥,金,水,水
2022-12,801230.SI,0.022749,壬,子,水,水,水
2023-01,801230.SI,0.000859,癸,丑,水,土,土
2023-02,801230.SI,0.000378,甲,寅,木,木,木
2023-03,801230.SI,-0.012326,乙,卯,木,木,木
